Positions,sofifa_id,short_name,Pace,Shooting,Passing,Dribbling,Defending,Physic
Defender,164240,Thiago Silva,53.0,54.0,72.0,72.0,86.0,78.0
Midfielder,183277,E. Hazard,84.0,80.0,82.0,88.0,35.0,63.0
Midfielder,143076,A. Gómez,87.0,78.0,84.0,87.0,39.0,55.0
Goalkeeper,163587,K. Schmeichel,,,,,,
Midfielder,168542,David Silva,63.0,74.0,87.0,87.0,52.0,53.0
Goalkeeper,177683,Y. Sommer,,,,,,
Forward,179813,E. Cavani,66.0,86.0,70.0,76.0,51.0,79.0
Defender,184344,L. Bonucci,64.0,58.0,69.0,72.0,86.0,80.0
Goalkeeper,185122,P. Gulácsi,,,,,,
Midfielder,186942,İ. Gündoğan,65.0,80.0,85.0,86.0,73.0,72.0
Midfielder,188350,M. Reus,73.0,84.0,84.0,85.0,47.0,63.0
Defender,188377,K. Walker,92.0,63.0,76.0,78.0,80.0,82.0
Forward,188567,P. Aubameyang,89.0,85.0,75.0,80.0,35.0,69.0
Defender,209889,R. Guerreiro,75.0,77.0,85.0,88.0,76.0,58.0
Midfielder,216352,M. Brozović,69.0,74.0,80.0,79.0,79.0,78.0
Goalkeeper,215698,M. Maignan,,,,,,
Forward,212188,T. Werner,91.0,81.0,70.0,82.0,35.0,70.0
Defender,210243,Ricardo Pereira,83.0,67.0,78.0,82.0,80.0,75.0
Midfielder,208670,H. Ziyech,78.0,76.0,87.0,83.0,50.0,65.0
Midfielder,208574,F. Kostić,88.0,77.0,82.0,83.0,68.0,80.0
Midfielder,208418,Y. Carrasco,88.0,81.0,78.0,85.0,45.0,67.0
Defender,216460,J. Giménez,69.0,45.0,57.0,59.0,86.0,80.0
Midfielder,216393,Y. Tielemans,63.0,79.0,86.0,80.0,71.0,72.0
Midfielder,230938,F. Kessié,78.0,74.0,74.0,80.0,82.0,87.0
Midfielder,216594,N. Fekir,83.0,83.0,82.0,87.0,38.0,79.0
Midfielder,222492,L. Sané,90.0,81.0,79.0,85.0,38.0,68.0
Midfielder,224232,N. Barella,78.0,71.0,79.0,86.0,75.0,78.0
Defender,224334,M. Acuña,76.0,74.0,82.0,87.0,79.0,82.0
Forward,228941,André Silva,74.0,84.0,69.0,83.0,45.0,77.0
Defender,207862,M. Ginter,62.0,58.0,72.0,66.0,86.0,79.0
Defender,232656,T. Hernández,93.0,71.0,76.0,81.0,77.0,82.0
Midfielder,235790,K. Havertz,82.0,78.0,79.0,84.0,45.0,66.0
Midfielder,237692,P. Foden,84.0,78.0,80.0,87.0,56.0,57.0
Defender,207863,Felipe,61.0,41.0,58.0,62.0,85.0,84.0
Midfielder,206517,J. Grealish,80.0,76.0,83.0,88.0,46.0,64.0
Midfielder,181291,G. Wijnaldum,77.0,75.0,80.0,86.0,79.0,79.0
Goalkeeper,193080,De Gea,,,,,,
Forward,41236,Z. Ibrahimović,65.0,87.0,78.0,79.0,34.0,77.0
Defender,146536,Jesús Navas,87.0,69.0,81.0,83.0,79.0,58.0
Defender,152729,Piqué,58.0,61.0,71.0,68.0,85.0,78.0
Forward,175943,D. Mertens,85.0,82.0,80.0,88.0,34.0,50.0
Defender,205988,L. Shaw,79.0,54.0,79.0,80.0,81.0,80.0
Midfielder,183711,J. Henderson,66.0,74.0,83.0,79.0,78.0,81.0
Midfielder,184134,Fernando,66.0,62.0,75.0,74.0,83.0,82.0
Defender,186345,K. Trippier,73.0,63.0,82.0,77.0,80.0,72.0
Forward,192629,Iago Aspas,82.0,85.0,79.0,86.0,35.0,63.0
Defender,197445,D. Alaba,77.0,70.0,81.0,80.0,83.0,76.0
Midfielder,198706,Luis Alberto,60.0,76.0,86.0,84.0,57.0,59.0
Forward,199451,W. Ben Yedder,82.0,84.0,77.0,87.0,39.0,70.0
Defender,200458,L. Digne,79.0,69.0,80.0,80.0,80.0,76.0
Forward,200647,J. Iličić,75.0,86.0,84.0,86.0,40.0,67.0
Goalkeeper,202811,E. Martínez,,,,,,
Defender,203263,H. Maguire,50.0,55.0,69.0,70.0,85.0,87.0
Defender,204639,S. Savić,64.0,35.0,57.0,58.0,87.0,76.0
Midfielder,204923,M. Sabitzer,78.0,84.0,81.0,80.0,67.0,78.0
Forward,215333,D. Zapata,80.0,81.0,61.0,78.0,35.0,84.0
Midfielder,220834,Marco Asensio,82.0,80.0,81.0,83.0,43.0,62.0
Defender,220814,L. Hernández,77.0,54.0,68.0,71.0,84.0,79.0
Defender,220651,Angeliño,78.0,71.0,82.0,84.0,76.0,70.0
Forward,216354,A. Kramarić,71.0,86.0,76.0,86.0,30.0,71.0
Defender,223697,R. Gosens,82.0,75.0,74.0,79.0,77.0,81.0
Forward,214997,Á. Correa,85.0,83.0,78.0,87.0,49.0,74.0
Midfielder,213648,P. Højbjerg,60.0,71.0,76.0,76.0,81.0,82.0
Midfielder,213565,T. Lemar,82.0,76.0,82.0,86.0,59.0,63.0
Defender,211688,Gayà,83.0,61.0,77.0,80.0,79.0,73.0
Midfielder,209989,T. Partey,69.0,71.0,82.0,81.0,80.0,84.0
Forward,223689,W. Weghorst,63.0,83.0,59.0,70.0,52.0,86.0
Midfielder,205632,L. Ocampos,81.0,84.0,78.0,83.0,63.0,84.0
Midfielder,225193,Merino,74.0,78.0,81.0,82.0,82.0,81.0
Defender,225850,P. Kimpembe,81.0,42.0,68.0,70.0,83.0,86.0
Defender,228618,F. Mendy,92.0,64.0,76.0,79.0,78.0,84.0
Defender,229880,A. Wan-Bissaka,85.0,52.0,69.0,79.0,81.0,75.0
Midfielder,230658,Arthur,69.0,67.0,83.0,88.0,72.0,70.0
Forward,230666,Gabriel Jesus,84.0,81.0,72.0,86.0,39.0,73.0
Midfielder,231443,O. Dembélé,93.0,77.0,77.0,86.0,36.0,56.0
Midfielder,233064,M. Mount,74.0,79.0,84.0,83.0,55.0,65.0
Goalkeeper,234642,É. Mendy,,,,,,
Midfielder,235805,F. Chiesa,91.0,81.0,74.0,85.0,48.0,73.0
Midfielder,239053,F. Valverde,86.0,74.0,78.0,79.0,77.0,80.0
Defender,241486,J. Koundé,81.0,45.0,64.0,72.0,84.0,78.0
Midfielder,207410,M. Kovačić,70.0,69.0,83.0,88.0,69.0,70.0
Forward,242444,João Félix,82.0,79.0,76.0,86.0,40.0,68.0
Defender,205452,A. Rüdiger,75.0,43.0,68.0,64.0,84.0,84.0
Defender,192774,K. Manolas,81.0,25.0,44.0,62.0,85.0,81.0
Goalkeeper,204935,J. Pickford,,,,,,
Midfielder,135507,Fernandinho,59.0,72.0,75.0,78.0,84.0,75.0
Midfielder,177413,A. Witsel,61.0,72.0,81.0,79.0,82.0,79.0
Goalkeeper,178750,Sergio Asenjo,,,,,,
Defender,179645,S. Kjær,67.0,55.0,64.0,59.0,85.0,78.0
Forward,180930,E. Džeko,66.0,83.0,72.0,78.0,45.0,76.0
Defender,184432,Azpilicueta,66.0,55.0,76.0,72.0,84.0,76.0
Midfielder,189575,Muniain,81.0,76.0,82.0,87.0,51.0,61.0
Midfielder,190286,Canales,83.0,80.0,85.0,82.0,67.0,71.0
Goalkeeper,190941,L. Hrádecký,,,,,,
Defender,191043,Alex Sandro,81.0,65.0,77.0,79.0,78.0,79.0
Goalkeeper,192563,B. Leno,,,,,,
Defender,183907,J. Boateng,72.0,50.0,73.0,67.0,84.0,79.0
Forward,192883,H. Mkhitaryan,85.0,80.0,79.0,83.0,56.0,74.0
Forward,201153,Morata,82.0,80.0,72.0,81.0,31.0,77.0
Defender,193082,J. Cuadrado,90.0,75.0,77.0,87.0,76.0,72.0
Forward,204838,R. Jiménez,72.0,82.0,76.0,81.0,47.0,82.0
Goalkeeper,203841,N. Pope,,,,,,
Defender,203574,J. Stones,70.0,51.0,71.0,74.0,84.0,78.0
Forward,201399,M. Icardi,69.0,83.0,65.0,77.0,36.0,69.0
Defender,202884,L. Spinazzola,92.0,64.0,73.0,80.0,78.0,71.0
Forward,200610,K. Volland,73.0,85.0,79.0,80.0,42.0,86.0
Midfielder,199914,Allan,72.0,71.0,77.0,82.0,80.0,79.0
Defender,199845,F. Acerbi,63.0,50.0,62.0,64.0,86.0,83.0
Defender,197061,J. Matip,58.0,46.0,68.0,68.0,85.0,78.0
Defender,229668,Mario Hermoso,75.0,49.0,72.0,71.0,83.0,80.0
Midfielder,224293,Rúben Neves,59.0,75.0,85.0,77.0,74.0,73.0
Defender,229558,D. Upamecano,81.0,43.0,62.0,68.0,81.0,81.0
Midfielder,227796,C. Pulisic,89.0,70.0,73.0,86.0,37.0,59.0
Midfielder,226271,Fabián,63.0,78.0,79.0,82.0,74.0,71.0
Defender,225100,J. Gomez,81.0,30.0,66.0,69.0,83.0,78.0
Midfielder,224458,Diogo Jota,84.0,81.0,73.0,85.0,57.0,77.0
Midfielder,212616,R. De Paul,78.0,76.0,80.0,82.0,71.0,79.0
Midfielder,222665,M. Ødegaard,77.0,74.0,83.0,84.0,58.0,62.0
Midfielder,222077,M. Locatelli,61.0,72.0,79.0,77.0,79.0,79.0
Defender,220440,C. Lenglet,72.0,45.0,67.0,66.0,83.0,79.0
Midfielder,220018,A. Rebić,86.0,83.0,75.0,81.0,48.0,80.0
Defender,219693,Diego Carlos,76.0,47.0,63.0,68.0,81.0,83.0
Defender,212462,Alex Telles,83.0,73.0,82.0,78.0,77.0,73.0
Defender,229984,B. Chilwell,76.0,53.0,77.0,78.0,78.0,75.0
Midfielder,229906,L. Bailey,93.0,78.0,74.0,84.0,33.0,64.0
Midfielder,241461,Ferran Torres,82.0,79.0,78.0,82.0,35.0,66.0
Goalkeeper,230869,Unai Simón,,,,,,
Forward,235410,Y. En-Nesyri,78.0,83.0,58.0,78.0,35.0,76.0
Midfielder,244260,Dani Olmo,67.0,76.0,81.0,86.0,50.0,60.0
Defender,241464,Pau Torres,71.0,38.0,67.0,70.0,84.0,80.0
Goalkeeper,211515,P. Gollini,,,,,,
Defender,240130,Éder Militão,83.0,50.0,69.0,71.0,83.0,82.0
Midfielder,236792,T. Souček,64.0,72.0,74.0,74.0,82.0,85.0
Midfielder,235569,T. Ndombele,71.0,72.0,81.0,88.0,69.0,72.0
Midfielder,234943,F. Neuhaus,64.0,72.0,79.0,82.0,66.0,67.0
Forward,231943,Richarlison,83.0,78.0,73.0,83.0,53.0,80.0
Defender,234396,A. Davies,96.0,67.0,71.0,82.0,75.0,75.0
Midfielder,234378,D. Rice,66.0,53.0,71.0,74.0,81.0,79.0
Forward,233731,A. Isak,84.0,82.0,68.0,79.0,29.0,69.0
Midfielder,233419,Raphinha,91.0,76.0,76.0,84.0,49.0,72.0
Defender,233096,D. Dumfries,80.0,61.0,66.0,72.0,78.0,89.0
Defender,232488,C. Romero,76.0,46.0,52.0,61.0,83.0,84.0
Defender,212190,N. Süle,65.0,42.0,59.0,51.0,83.0,81.0
Midfielder,220697,J. Maddison,75.0,78.0,84.0,84.0,54.0,60.0
Midfielder,210935,D. Berardi,79.0,80.0,81.0,85.0,36.0,69.0
Midfielder,197781,Isco,66.0,75.0,80.0,88.0,59.0,59.0
Goalkeeper,193698,O. Baumann,,,,,,
Midfielder,193474,I. Gueye,69.0,62.0,71.0,78.0,83.0,77.0
Forward,193301,A. Lacazette,75.0,82.0,74.0,82.0,44.0,72.0
Goalkeeper,193105,A. Areola,,,,,,
Midfielder,190460,C. Eriksen,62.0,78.0,88.0,81.0,53.0,52.0
Midfielder,189242,Coutinho,69.0,79.0,80.0,88.0,52.0,59.0
Goalkeeper,188943,K. Trapp,,,,,,
Defender,183512,Yuri Berchiche,83.0,68.0,76.0,76.0,79.0,82.0
Goalkeeper,178005,Rui Patrício,,,,,,
Midfielder,173731,G. Bale,82.0,84.0,82.0,80.0,55.0,70.0
Midfielder,168651,I. Rakitić,57.0,79.0,85.0,78.0,75.0,69.0
Goalkeeper,168435,S. Sirigu,,,,,,
Goalkeeper,164835,Ł. Fabiański,,,,,,
Defender,210413,A. Romagnoli,68.0,40.0,56.0,68.0,85.0,78.0
Defender,157481,Raúl Albiol,40.0,41.0,62.0,63.0,86.0,73.0
Goalkeeper,194404,Neto,,,,,,
Midfielder,187072,L. Stindl,61.0,84.0,81.0,81.0,60.0,73.0
Forward,198717,W. Zaha,89.0,77.0,73.0,87.0,34.0,75.0
Midfielder,208461,M. de Roon,66.0,68.0,71.0,73.0,82.0,83.0
Goalkeeper,209981,Y. Bounou,,,,,,
Midfielder,208421,Saúl,71.0,78.0,78.0,79.0,78.0,79.0
Midfielder,208333,E. Can,78.0,78.0,78.0,80.0,84.0,87.0
Midfielder,208128,H. Çalhanoğlu,67.0,78.0,84.0,85.0,59.0,57.0
Midfielder,205070,Portu,90.0,78.0,77.0,79.0,59.0,79.0
Defender,205069,Juan Bernat,82.0,65.0,78.0,82.0,76.0,68.0
Midfielder,203486,T. Hazard,80.0,76.0,80.0,85.0,52.0,66.0
Midfielder,202651,Suso,76.0,76.0,82.0,85.0,32.0,55.0
Midfielder,201519,J. Veretout,77.0,75.0,77.0,79.0,77.0,81.0
Defender,201305,Gabriel Paulista,67.0,49.0,71.0,65.0,84.0,83.0
Midfielder,199823,Campaña,68.0,74.0,83.0,82.0,71.0,72.0
Goalkeeper,199482,A. Lopes,,,,,,
Forward,199110,L. Muriel,89.0,83.0,74.0,86.0,27.0,67.0
Midfielder,221363,D. van de Beek,68.0,78.0,76.0,79.0,72.0,77.0
Forward,221479,D. Calvert-Lewin,83.0,77.0,64.0,77.0,39.0,82.0
Midfielder,221992,H. Lozano,93.0,76.0,72.0,82.0,41.0,62.0
Midfielder,224411,Gonçalo Guedes,86.0,79.0,76.0,82.0,36.0,68.0
Goalkeeper,223952,David Soria,,,,,,
Midfielder,224081,K. Phillips,67.0,65.0,76.0,75.0,78.0,82.0
Defender,220093,H. Hateboer,84.0,64.0,72.0,77.0,77.0,79.0
Midfielder,225375,K. Laimer,81.0,68.0,77.0,78.0,80.0,77.0
Goalkeeper,220407,M. Dúbravka,,,,,,
Goalkeeper,214979,J. Musso,,,,,,
Defender,217940,D. Djené,69.0,37.0,62.0,62.0,83.0,79.0
Forward,216475,Morales,86.0,82.0,75.0,85.0,52.0,68.0
Midfielder,216409,M. Politano,83.0,77.0,78.0,84.0,42.0,55.0
Forward,216201,Iñaki Williams,94.0,78.0,72.0,78.0,37.0,81.0
Forward,215330,J. Correa,84.0,75.0,77.0,85.0,39.0,69.0
Midfielder,212194,J. Brandt,73.0,75.0,80.0,84.0,48.0,66.0
Forward,211300,A. Martial,87.0,80.0,73.0,85.0,35.0,68.0
Midfielder,210463,D. Machís,88.0,80.0,75.0,83.0,38.0,70.0
Defender,226166,N. Mukiele,80.0,49.0,69.0,73.0,82.0,80.0
Midfielder,226110,N. Pépé,88.0,79.0,75.0,83.0,36.0,65.0
Defender,247263,E. Tapsoba,75.0,52.0,65.0,69.0,82.0,79.0
Midfielder,226226,G. Lo Celso,75.0,76.0,82.0,83.0,69.0,73.0
Goalkeeper,227127,Álex Remiro,,,,,,
Goalkeeper,210385,Rui Silva,,,,,,
Midfielder,251854,Pedri,78.0,65.0,79.0,84.0,66.0,63.0
Defender,251573,Renan Lodi,84.0,67.0,76.0,81.0,77.0,75.0
Midfielder,247394,D. Kulusevski,84.0,74.0,77.0,84.0,56.0,76.0
Defender,245279,Reguilón,86.0,58.0,75.0,78.0,78.0,70.0
Midfielder,241852,M. Diaby,94.0,67.0,73.0,85.0,41.0,53.0
Midfielder,239231,Cucurella,79.0,67.0,78.0,80.0,73.0,74.0
Defender,238074,R. James,80.0,58.0,77.0,77.0,76.0,80.0
Defender,235374,M. Lazzari,92.0,62.0,76.0,82.0,70.0,65.0
Midfielder,234906,H. Aouar,75.0,75.0,81.0,85.0,66.0,71.0
Midfielder,234742,H. Barnes,86.0,77.0,76.0,81.0,45.0,63.0
Midfielder,234153,Carlos Soler,78.0,77.0,82.0,79.0,71.0,71.0
Midfielder,233927,Lucas Paquetá,74.0,75.0,79.0,83.0,69.0,78.0
Midfielder,232411,C. Nkunku,79.0,74.0,81.0,85.0,69.0,65.0
Forward,231969,R. Malinovskyi,74.0,80.0,83.0,81.0,64.0,79.0
Midfielder,228251,L. Pellegrini,78.0,74.0,81.0,80.0,72.0,77.0
Defender,227950,Yeray,68.0,49.0,62.0,64.0,82.0,77.0
Midfielder,210406,P. Zieliński,81.0,75.0,81.0,85.0,70.0,61.0
Goalkeeper,193314,Aitor,,,,,,
Midfielder,210008,A. Rabiot,76.0,74.0,76.0,80.0,76.0,79.0
Defender,199564,Sergi Roberto,76.0,63.0,80.0,77.0,76.0,73.0
Midfielder,198710,J. Rodríguez,53.0,86.0,86.0,86.0,50.0,60.0
Forward,195859,D. Ings,79.0,84.0,70.0,80.0,45.0,70.0
Midfielder,195365,K. Kampl,70.0,67.0,81.0,85.0,63.0,62.0
Forward,193983,A. Delort,84.0,82.0,73.0,75.0,37.0,85.0
Midfielder,193283,T. Delaney,75.0,71.0,74.0,74.0,83.0,82.0
Midfielder,190674,B. André,67.0,64.0,74.0,75.0,80.0,85.0
Forward,183574,M. Kruse,64.0,81.0,81.0,82.0,40.0,66.0
Midfielder,181872,A. Vidal,65.0,79.0,79.0,79.0,82.0,82.0
Midfielder,181458,I. Perišić,81.0,79.0,76.0,79.0,64.0,74.0
Midfielder,176266,Lucas Leiva,56.0,65.0,73.0,76.0,82.0,69.0
Defender,171791,José Fonte,32.0,46.0,62.0,63.0,83.0,77.0
Goalkeeper,163705,S. Mandanda,,,,,,
Goalkeeper,163489,A. Consigli,,,,,,
Midfielder,156519,H. Herrera,70.0,75.0,76.0,76.0,78.0,84.0
Forward,124375,B. Yılmaz,79.0,83.0,69.0,73.0,34.0,79.0
Midfielder,45186,Joaquín,68.0,80.0,84.0,81.0,44.0,55.0
Midfielder,209297,Fred,77.0,66.0,77.0,81.0,75.0,71.0
Defender,199304,Danilo,73.0,67.0,73.0,74.0,82.0,79.0
Forward,184200,M. Arnautović,79.0,81.0,79.0,78.0,44.0,82.0
Goalkeeper,199987,J. Cillessen,,,,,,
Forward,205175,A. Milik,64.0,84.0,67.0,76.0,39.0,71.0
Forward,200454,Paco Alcácer,77.0,84.0,69.0,81.0,35.0,61.0
Forward,208596,A. Belotti,76.0,81.0,59.0,78.0,38.0,83.0
Midfielder,208448,E. Forsberg,70.0,73.0,82.0,83.0,35.0,62.0
Midfielder,208330,A. Januzaj,79.0,75.0,80.0,83.0,30.0,58.0
Midfielder,207439,L. Paredes,66.0,71.0,83.0,79.0,76.0,79.0
Midfielder,206511,M. Arnold,65.0,81.0,79.0,78.0,76.0,74.0
Goalkeeper,205659,A. Cragno,,,,,,
Midfielder,205569,J. Ward-Prowse,59.0,74.0,86.0,78.0,67.0,73.0
Midfielder,208618,Lucas Vázquez,82.0,73.0,79.0,80.0,69.0,69.0
Defender,204638,W. Orban,49.0,36.0,52.0,55.0,84.0,80.0
Defender,202695,J. Tarkowski,57.0,45.0,67.0,65.0,82.0,81.0
Defender,204525,Iñigo Martínez,71.0,56.0,66.0,64.0,81.0,79.0
Midfielder,200888,Danilo Pereira,64.0,63.0,71.0,73.0,80.0,86.0
Midfielder,200949,Lucas Moura,90.0,79.0,70.0,86.0,43.0,68.0
Defender,200724,Nacho Fernández,78.0,37.0,66.0,69.0,81.0,80.0
Defender,203551,A. Florenzi,76.0,77.0,79.0,80.0,76.0,62.0
Defender,204311,K. Zouma,65.0,51.0,63.0,57.0,81.0,85.0
Midfielder,224309,Joan Jordán,63.0,75.0,81.0,77.0,67.0,76.0
Defender,227813,O. Zinchenko,73.0,65.0,80.0,80.0,77.0,69.0
Goalkeeper,227290,M. Dmitrović,,,,,,
Midfielder,226754,I. Bennacer,73.0,67.0,80.0,84.0,73.0,73.0
Defender,226491,K. Tierney,84.0,60.0,75.0,77.0,75.0,79.0
Defender,227928,Nélson Semedo,82.0,57.0,68.0,81.0,75.0,75.0
Midfielder,225953,S. Bergwijn,85.0,78.0,75.0,82.0,39.0,69.0
Midfielder,225201,Álex Berenguer,82.0,76.0,76.0,81.0,63.0,65.0
Midfielder,225085,J. Bamba,89.0,75.0,74.0,81.0,39.0,69.0
Defender,222331,L. Klostermann,85.0,51.0,64.0,71.0,82.0,77.0
Forward,224179,Borja Iglesias,65.0,80.0,64.0,74.0,35.0,80.0
Midfielder,223959,L. Torreira,74.0,67.0,74.0,79.0,79.0,75.0
Defender,223724,S. Lainer,78.0,63.0,70.0,75.0,74.0,80.0
Defender,221660,V. Lindelöf,63.0,51.0,73.0,72.0,81.0,78.0
Goalkeeper,221087,Pau López,,,,,,
Midfielder,220971,N. Keïta,70.0,73.0,75.0,85.0,65.0,66.0
Defender,220182,J. Denayer,83.0,43.0,67.0,71.0,81.0,81.0
Midfielder,229261,D. Zakaria,83.0,64.0,72.0,75.0,80.0,84.0
Defender,229237,M. Akanji,81.0,48.0,67.0,74.0,81.0,77.0
Defender,217870,G. Di Lorenzo,84.0,66.0,73.0,76.0,76.0,79.0
Defender,229582,G. Mancini,61.0,45.0,50.0,59.0,80.0,84.0
Midfielder,229857,S. Sensi,67.0,60.0,83.0,83.0,67.0,59.0
Midfielder,246669,B. Saka,84.0,68.0,76.0,82.0,65.0,64.0
Defender,244470,V. Coufal,77.0,56.0,73.0,75.0,78.0,81.0
Midfielder,241095,N. Vlašić,83.0,77.0,78.0,82.0,48.0,71.0
Defender,240900,Unai Núñez,72.0,22.0,49.0,50.0,81.0,76.0
Midfielder,240709,R. Baku,84.0,73.0,73.0,81.0,70.0,78.0
