Positions,short_name,sofifa_id,Acceleration,SprintSpeed,Pace,Agility,Balance,Vision,Penalties,Stamina,ShotPower,LongShots
Midfielder,Fernandinho,135507,67,52,59.0,69,77,66,61,66,83,76
Midfielder,A. Witsel,177413,60,61,61.0,71,70,79,76,76,75,71
Goalkeeper,Sergio Asenjo,178750,59,54,,62,58,46,15,41,59,13
Defender,S. Kjær,179645,63,71,67.0,57,53,55,61,65,78,41
Forward,E. Džeko,180930,64,67,66.0,62,55,74,67,74,86,78
Defender,Azpilicueta,184432,69,63,66.0,67,73,72,66,77,68,60
Midfielder,Muniain,189575,84,78,81.0,91,94,84,61,77,72,77
Midfielder,Canales,190286,85,82,83.0,83,79,89,80,80,78,84
Goalkeeper,L. Hrádecký,190941,38,44,,43,39,53,20,34,52,14
Defender,Alex Sandro,191043,78,83,81.0,78,77,70,60,83,78,72
Goalkeeper,B. Leno,192563,55,56,,52,44,56,23,43,57,14
Defender,J. Boateng,183907,63,80,72.0,55,52,78,46,60,78,58
Forward,H. Mkhitaryan,192883,86,85,85.0,84,83,84,72,88,84,77
Forward,Morata,201153,79,85,82.0,72,63,77,75,77,80,72
Defender,J. Cuadrado,193082,91,89,90.0,94,81,72,65,78,84,80
Forward,R. Jiménez,204838,63,80,72.0,75,65,78,92,82,84,74
Goalkeeper,N. Pope,203841,50,47,,36,42,45,22,37,56,15
Defender,J. Stones,203574,67,73,70.0,61,59,67,52,77,55,44
Forward,M. Icardi,201399,70,68,69.0,68,75,72,82,67,85,71
Defender,L. Spinazzola,202884,94,91,92.0,80,69,72,59,81,68,68
Forward,K. Volland,200610,76,70,73.0,75,83,82,72,90,87,84
Midfielder,Allan,199914,77,68,72.0,78,86,77,53,92,73,69
Defender,F. Acerbi,199845,64,62,63.0,32,35,65,72,87,75,60
Defender,J. Matip,197061,50,65,58.0,51,42,72,42,69,66,48
Defender,Mario Hermoso,229668,73,77,75.0,74,63,66,45,77,65,46
Midfielder,Rúben Neves,224293,64,54,59.0,68,73,86,76,79,86,84
Defender,D. Upamecano,229558,70,90,81.0,60,66,58,39,65,60,40
Midfielder,C. Pulisic,227796,91,87,89.0,87,88,80,61,76,77,57
Midfielder,Fabián,226271,67,60,63.0,71,67,82,67,87,77,83
Defender,J. Gomez,225100,75,85,81.0,63,65,60,26,67,41,26
Midfielder,Diogo Jota,224458,88,81,84.0,87,86,75,63,81,84,75
Midfielder,R. De Paul,212616,81,76,78.0,78,79,80,65,86,80,78
Midfielder,M. Ødegaard,222665,80,75,77.0,85,83,86,63,78,76,77
Midfielder,M. Locatelli,222077,62,60,61.0,69,60,82,60,89,77,80
Defender,C. Lenglet,220440,73,71,72.0,61,58,66,49,75,58,46
Midfielder,A. Rebić,220018,83,88,86.0,74,71,74,65,81,85,80
Defender,Diego Carlos,219693,77,75,76.0,68,53,63,41,73,73,57
Defender,Alex Telles,212462,81,84,83.0,75,70,78,81,85,87,83
Defender,B. Chilwell,229984,77,75,76.0,70,72,73,52,88,72,42
Midfielder,L. Bailey,229906,93,93,93.0,86,84,80,71,75,79,78
Midfielder,Ferran Torres,241461,87,78,82.0,82,76,84,66,73,79,76
Goalkeeper,Unai Simón,230869,46,48,,32,47,44,24,45,57,13
Forward,Y. En-Nesyri,235410,74,81,78.0,68,47,52,67,76,83,75
Midfielder,Dani Olmo,244260,77,58,67.0,86,86,83,66,80,79,77
Defender,Pau Torres,241464,69,72,71.0,69,52,67,42,80,58,40
Goalkeeper,P. Gollini,211515,46,48,,56,52,30,21,40,57,17
Defender,Éder Militão,240130,81,84,83.0,69,63,59,60,85,62,42
Midfielder,T. Souček,236792,61,66,64.0,66,58,72,70,92,73,70
Midfielder,T. Ndombele,235569,73,69,71.0,84,91,87,60,69,80,75
Midfielder,F. Neuhaus,234943,72,57,64.0,80,78,84,49,81,75,81
Forward,Richarlison,231943,85,81,83.0,79,73,74,77,83,83,70
Defender,A. Davies,234396,96,96,96.0,85,82,68,60,79,71,63
Midfielder,D. Rice,234378,64,68,66.0,53,61,75,71,84,70,60
Forward,A. Isak,233731,82,85,84.0,79,66,76,75,70,84,77
Midfielder,Raphinha,233419,90,91,91.0,88,79,77,73,84,81,76
Defender,D. Dumfries,233096,76,84,80.0,68,60,58,48,94,66,54
Defender,C. Romero,232488,80,73,76.0,72,68,43,40,83,51,37
Defender,N. Süle,212190,48,79,65.0,33,32,57,32,63,77,62
Midfielder,J. Maddison,220697,78,72,75.0,86,83,87,74,74,83,80
Midfielder,D. Berardi,210935,81,77,79.0,90,82,81,76,70,83,80
Midfielder,Isco,197781,70,62,66.0,81,90,81,74,59,69,78
Goalkeeper,O. Baumann,193698,47,51,,45,43,41,22,39,59,13
Midfielder,I. Gueye,193474,70,69,69.0,79,82,68,55,85,80,68
Forward,A. Lacazette,193301,77,73,75.0,81,82,75,79,66,87,78
Goalkeeper,A. Areola,193105,56,54,,58,58,51,25,38,57,14
Midfielder,C. Eriksen,190460,63,62,62.0,72,81,86,67,59,84,85
Midfielder,Coutinho,189242,74,65,69.0,89,92,82,70,74,82,86
Goalkeeper,K. Trapp,188943,45,52,,42,37,46,17,45,59,13
Defender,Yuri Berchiche,183512,81,84,83.0,80,78,71,59,85,82,76
Goalkeeper,Rui Patrício,178005,53,57,,61,54,64,32,45,58,11
Midfielder,G. Bale,173731,80,83,82.0,78,64,79,76,61,90,87
Midfielder,I. Rakitić,168651,59,56,57.0,69,59,84,82,74,84,76
Goalkeeper,S. Sirigu,168435,46,46,,52,55,55,19,34,57,14
Goalkeeper,Ł. Fabiański,164835,50,47,,53,44,52,22,25,53,20
Defender,A. Romagnoli,210413,66,69,68.0,55,53,45,34,70,64,46
Defender,Raúl Albiol,157481,48,34,40.0,49,53,64,37,51,65,53
Goalkeeper,Neto,194404,56,52,,59,49,42,22,41,59,20
Midfielder,L. Stindl,187072,63,59,61.0,70,79,84,83,75,85,83
Forward,W. Zaha,198717,88,90,89.0,87,79,76,72,75,82,72
Midfielder,M. de Roon,208461,64,68,66.0,61,73,69,80,92,76,77
Goalkeeper,Y. Bounou,209981,37,34,,47,29,60,24,43,57,19
Midfielder,Saúl,208421,69,72,71.0,73,68,81,68,86,82,80
Midfielder,E. Can,208333,67,87,78.0,72,75,79,60,88,85,81
Midfielder,H. Çalhanoğlu,208128,72,62,67.0,83,77,86,78,75,80,84
Midfielder,Portu,205070,89,90,90.0,83,82,79,53,88,82,74
Defender,Juan Bernat,205069,82,82,82.0,86,88,77,53,79,67,62
Midfielder,T. Hazard,203486,84,76,80.0,91,88,82,79,78,77,76
Midfielder,Suso,202651,78,75,76.0,80,82,83,72,72,78,87
Midfielder,J. Veretout,201519,84,72,77.0,76,81,74,85,85,83,80
Defender,Gabriel Paulista,201305,68,67,67.0,66,63,65,51,81,61,50
Midfielder,Campaña,199823,70,66,68.0,74,80,86,69,82,76,76
Goalkeeper,A. Lopes,199482,63,64,,67,62,48,16,36,53,18
Forward,L. Muriel,199110,87,90,89.0,85,88,78,89,73,81,84
Midfielder,D. van de Beek,221363,67,69,68.0,75,69,79,61,84,83,78
Forward,D. Calvert-Lewin,221479,76,89,83.0,72,65,64,77,80,79,65
Midfielder,H. Lozano,221992,92,93,93.0,89,82,74,73,76,76,75
Midfielder,Gonçalo Guedes,224411,85,87,86.0,84,75,76,69,74,84,84
Goalkeeper,David Soria,223952,49,34,,49,42,45,23,43,54,18
Midfielder,K. Phillips,224081,69,66,67.0,72,72,74,58,85,75,67
Defender,H. Hateboer,220093,80,87,84.0,68,74,69,47,86,72,58
Midfielder,K. Laimer,225375,82,81,81.0,76,74,76,54,88,72,68
Goalkeeper,M. Dúbravka,220407,48,44,,47,60,55,20,38,60,17
Goalkeeper,J. Musso,214979,46,42,,32,39,48,25,35,55,14
Defender,D. Djené,217940,69,69,69.0,70,67,42,41,73,67,27
Forward,Morales,216475,87,86,86.0,80,83,76,76,78,82,78
Midfielder,M. Politano,216409,84,82,83.0,89,87,77,70,77,78,82
Forward,Iñaki Williams,216201,93,94,94.0,78,62,73,64,83,85,77
Forward,J. Correa,215330,81,87,84.0,83,67,78,57,76,79,71
Midfielder,J. Brandt,212194,77,69,73.0,84,83,82,54,80,81,78
Forward,A. Martial,211300,87,87,87.0,82,79,77,80,68,83,76
Midfielder,D. Machís,210463,90,86,88.0,92,93,75,72,71,84,81
Defender,N. Mukiele,226166,77,82,80.0,67,65,64,45,79,67,52
Midfielder,N. Pépé,226110,88,88,88.0,88,79,76,85,77,81,78
Defender,E. Tapsoba,247263,74,75,75.0,67,65,66,77,75,74,30
Midfielder,G. Lo Celso,226226,76,75,75.0,83,80,83,65,76,82,75
Goalkeeper,Álex Remiro,227127,40,46,,69,40,35,24,42,60,11
Goalkeeper,Rui Silva,210385,31,30,,34,24,50,30,27,56,14
Midfielder,Pedri,251854,81,76,78.0,88,89,86,53,86,62,65
Defender,Renan Lodi,251573,85,83,84.0,85,81,73,54,84,76,68
Midfielder,D. Kulusevski,247394,85,83,84.0,77,73,78,65,85,74,83
Defender,Reguilón,245279,84,87,86.0,75,74,73,42,77,72,58
Midfielder,M. Diaby,241852,96,92,94.0,92,93,76,42,70,73,54
Midfielder,Cucurella,239231,78,80,79.0,78,83,78,47,88,73,65
Defender,R. James,238074,78,81,80.0,72,85,70,50,79,75,66
Defender,M. Lazzari,235374,93,92,92.0,89,89,74,55,86,53,57
Midfielder,H. Aouar,234906,78,73,75.0,84,83,84,74,76,72,75
Midfielder,H. Barnes,234742,85,86,86.0,81,79,79,54,73,80,79
Midfielder,Carlos Soler,234153,75,80,78.0,75,73,81,86,81,77,76
Midfielder,Lucas Paquetá,233927,72,76,74.0,76,79,82,75,84,77,74
Midfielder,C. Nkunku,232411,81,78,79.0,85,83,81,65,74,79,76
Forward,R. Malinovskyi,231969,73,74,74.0,69,73,84,83,81,90,87
Midfielder,L. Pellegrini,228251,77,79,78.0,79,86,84,80,88,76,74
Defender,Yeray,227950,64,71,68.0,54,74,48,61,69,69,43
Midfielder,P. Zieliński,210406,83,79,81.0,85,79,84,51,75,79,83
Goalkeeper,Aitor,193314,58,53,,70,48,48,24,42,50,12
Midfielder,A. Rabiot,210008,70,81,76.0,69,69,75,67,86,86,76
Defender,Sergi Roberto,199564,73,79,76.0,69,73,82,57,92,65,66
Midfielder,J. Rodríguez,198710,55,51,53.0,78,76,84,81,55,86,91
Forward,D. Ings,195859,82,76,79.0,77,77,72,81,74,83,83
Midfielder,K. Kampl,195365,79,62,70.0,90,82,82,64,86,69,74
Forward,A. Delort,193983,81,87,84.0,73,74,77,75,83,89,77
Midfielder,T. Delaney,193283,77,74,75.0,73,72,72,60,87,78,74
Midfielder,B. André,190674,65,69,67.0,72,73,75,66,93,69,65
Forward,M. Kruse,183574,65,64,64.0,73,77,85,90,59,81,79
Midfielder,A. Vidal,181872,66,65,65.0,81,77,80,81,78,84,81
Midfielder,I. Perišić,181458,82,81,81.0,81,78,74,76,75,84,77
Midfielder,Lucas Leiva,176266,57,55,56.0,71,80,77,61,66,75,63
Defender,José Fonte,171791,32,32,32.0,43,51,63,43,57,60,43
Goalkeeper,S. Mandanda,163705,53,43,,52,36,55,11,31,59,7
Goalkeeper,A. Consigli,163489,48,34,,57,40,46,21,31,54,19
Midfielder,H. Herrera,156519,71,70,70.0,73,68,78,67,93,81,78
Forward,B. Yılmaz,124375,78,79,79.0,72,48,70,80,71,88,81
Midfielder,Joaquín,45186,65,70,68.0,69,69,85,75,42,80,78
Midfielder,Fred,209297,81,74,77.0,88,87,73,64,93,77,68
Defender,Danilo,199304,67,77,73.0,62,65,64,67,77,84,69
Forward,M. Arnautović,184200,78,80,79.0,70,80,81,79,77,84,82
Goalkeeper,J. Cillessen,199987,56,50,,48,50,60,21,40,59,15
Forward,A. Milik,205175,60,68,64.0,66,63,64,79,63,86,82
Forward,Paco Alcácer,200454,79,76,77.0,83,81,67,71,60,82,84
Forward,A. Belotti,208596,74,78,76.0,75,77,61,77,78,81,67
Midfielder,E. Forsberg,208448,72,68,70.0,78,82,84,71,69,71,72
Midfielder,A. Januzaj,208330,83,75,79.0,84,75,81,60,70,74,76
Midfielder,L. Paredes,207439,67,66,66.0,71,75,84,64,79,88,77
Midfielder,M. Arnold,206511,65,65,65.0,68,67,78,57,78,88,87
Goalkeeper,A. Cragno,205659,41,37,,37,43,42,31,43,55,17
Midfielder,J. Ward-Prowse,205569,66,54,59.0,75,76,82,79,91,82,79
Midfielder,Lucas Vázquez,208618,83,82,82.0,81,81,79,56,91,80,76
Defender,W. Orban,204638,50,49,49.0,48,56,44,41,68,37,29
Defender,J. Tarkowski,202695,50,62,57.0,55,53,65,52,71,63,38
Defender,Iñigo Martínez,204525,69,72,71.0,68,61,55,39,71,81,74
Midfielder,Danilo Pereira,200888,60,67,64.0,54,60,72,57,85,74,67
Midfielder,Lucas Moura,200949,93,88,90.0,93,92,70,74,75,85,75
Defender,Nacho Fernández,200724,71,84,78.0,65,74,53,45,81,54,28
Defender,A. Florenzi,203551,79,74,76.0,86,82,81,74,82,82,81
Defender,K. Zouma,204311,54,74,65.0,52,52,60,59,67,63,49
Midfielder,Joan Jordán,224309,59,66,63.0,67,58,82,69,81,80,78
Defender,O. Zinchenko,227813,75,71,73.0,78,78,78,59,76,77,71
Goalkeeper,M. Dmitrović,227290,39,35,,32,37,45,58,45,59,17
Midfielder,I. Bennacer,226754,80,67,73.0,86,88,81,68,79,74,72
Defender,K. Tierney,226491,86,83,84.0,76,77,73,42,86,79,66
Defender,Nélson Semedo,227928,81,83,82.0,87,79,62,38,84,74,60
Midfielder,S. Bergwijn,225953,87,84,85.0,79,89,77,68,74,84,81
Midfielder,Álex Berenguer,225201,86,79,82.0,85,84,78,69,74,77,72
Midfielder,J. Bamba,225085,89,89,89.0,83,84,77,76,82,78,75
Defender,L. Klostermann,222331,81,89,85.0,63,60,55,26,82,58,31
Forward,Borja Iglesias,224179,61,69,65.0,60,73,71,79,71,83,74
Midfielder,L. Torreira,223959,76,72,74.0,86,90,74,48,84,78,74
Defender,S. Lainer,223724,79,78,78.0,76,78,60,45,92,73,65
Defender,V. Lindelöf,221660,61,65,63.0,62,60,72,54,77,72,52
Goalkeeper,Pau López,221087,45,52,,40,57,62,25,42,54,18
Midfielder,N. Keïta,220971,77,65,70.0,88,90,80,58,73,76,73
Defender,J. Denayer,220182,82,83,83.0,69,62,67,39,81,57,36
Midfielder,D. Zakaria,229261,79,86,83.0,67,64,73,38,81,73,63
Defender,M. Akanji,229237,77,84,81.0,69,65,65,40,72,75,48
Defender,G. Di Lorenzo,217870,85,83,84.0,78,78,64,59,89,72,69
Defender,G. Mancini,229582,59,63,61.0,34,57,51,47,86,51,34
Midfielder,S. Sensi,229857,71,64,67.0,81,91,86,73,65,69,73
Midfielder,B. Saka,246669,86,82,84.0,83,83,79,64,77,68,65
Defender,V. Coufal,244470,76,77,77.0,74,84,69,49,86,66,59
Midfielder,N. Vlašić,241095,82,83,83.0,78,88,82,66,80,80,81
Defender,Unai Núñez,240900,68,75,72.0,35,60,30,31,67,39,17
Midfielder,R. Baku,240709,83,85,84.0,82,87,75,51,91,77,73
