Positions,short_name,sofifa_id,Crossing,Finishing,Heading,ShortPassing,Volleys,Dribbling,Curve,LongPassing,BallControl,FKAccuracy,Passing,Shooting
Midfielder,L. Goretzka,209658,75,82,86,86,69,84,76,84,87,75,82.0,82.0
Defender,Marquinhos,207865,68,51,88,84,35,69,58,85,79,32,75.0,53.0
Forward,P. Dybala,211110,82,85,59,87,88,90,90,79,93,88,86.0,86.0
Midfielder,P. Pogba,195864,77,75,74,88,84,88,85,92,90,82,86.0,81.0
Forward,S. Agüero,153079,70,93,78,80,85,86,83,64,88,73,75.0,89.0
Midfielder,T. Müller,189596,85,88,81,85,84,77,81,79,84,59,83.0,84.0
Goalkeeper,W. Szczęsny,186153,12,12,16,32,14,11,16,36,22,14,,
Midfielder,Á. Di María,183898,88,79,51,84,78,88,91,82,87,88,86.0,81.0
Midfielder,L. Modrić,177003,86,72,55,91,76,85,85,89,90,78,89.0,76.0
Goalkeeper,H. Lloris,167948,13,10,10,50,11,10,11,50,34,10,,
Forward,C. Immobile,192387,55,91,81,80,85,80,70,53,83,51,67.0,87.0
Midfielder,K. Coman,213345,79,75,61,80,77,89,83,74,88,70,79.0,76.0
Forward,J. Vardy,208830,69,90,79,74,84,78,68,60,82,60,70.0,84.0
Defender,João Cancelo,210514,86,68,72,85,62,85,84,78,85,69,83.0,71.0
Defender,A. Laporte,212218,58,45,84,82,40,63,61,80,78,69,72.0,50.0
Midfielder,Rodri,231866,63,64,78,85,59,78,65,83,82,54,77.0,70.0
Midfielder,Bernardo Silva,218667,85,77,51,86,70,92,84,76,90,67,83.0,76.0
Midfielder,Marcos Llorente,226161,74,81,67,86,64,82,73,83,84,58,81.0,80.0
Midfielder,R. Mahrez,204485,81,81,48,83,76,91,85,75,91,78,81.0,79.0
Defender,M. Škriniar,232363,40,42,81,72,40,67,34,49,72,30,53.0,41.0
Forward,Gerard Moreno,208093,77,89,82,81,81,86,75,75,85,62,77.0,86.0
Midfielder,Fabinho,209499,75,63,75,84,47,78,71,82,81,53,78.0,69.0
Defender,R. Varane,201535,42,46,86,78,42,55,46,76,78,52,64.0,49.0
Midfielder,Thiago,189509,78,68,54,90,82,90,85,89,92,77,86.0,72.0
Defender,K. Koulibaly,201024,30,22,84,63,14,69,28,63,64,28,51.0,28.0
Defender,G. Chiellini,138956,63,33,77,65,45,57,60,67,57,31,60.0,46.0
Goalkeeper,S. Handanovič,162835,12,10,10,42,12,18,20,40,21,14,,
Defender,Jordi Alba,189332,85,73,70,85,60,81,80,79,85,63,81.0,69.0
Defender,M. Hummels,178603,65,57,88,82,61,69,66,86,79,53,77.0,59.0
Midfielder,Sergio Busquets,189511,62,67,68,87,44,81,66,85,86,68,79.0,62.0
Midfielder,Parejo,189513,86,83,61,92,72,82,88,90,86,90,90.0,83.0
Goalkeeper,K. Casteels,192984,15,15,14,35,13,14,20,37,23,13,,
Midfielder,L. Insigne,198219,77,76,59,87,74,90,87,84,93,86,85.0,78.0
Midfielder,S. Milinković-Savić,223848,64,80,86,85,74,84,80,85,86,78,80.0,79.0
Forward,Roberto Firmino,201942,73,78,78,84,83,89,81,76,90,65,79.0,78.0
Forward,M. Depay,202556,84,83,65,81,74,86,85,76,85,83,82.0,83.0
Defender,Carvajal,204963,82,51,72,83,49,78,76,74,83,47,78.0,54.0
Midfielder,Jorginho,205498,75,64,56,92,71,79,75,89,87,76,86.0,67.0
Midfielder,S. Gnabry,206113,74,86,42,82,83,88,74,78,83,62,79.0,84.0
Defender,M. de Ligt,235243,52,50,85,75,45,65,48,63,73,55,60.0,59.0
Midfielder,W. Ndidi,226790,53,50,72,78,68,72,60,75,77,60,69.0,62.0
Midfielder,Oyarzabal,230142,82,84,60,83,74,85,77,73,85,71,81.0,82.0
Forward,L. Martínez,231478,56,85,87,78,88,83,78,73,85,43,72.0,81.0
Midfielder,M. Rashford,231677,80,83,68,80,73,86,83,71,84,76,79.0,84.0
Defender,A. Hakimi,235212,86,73,68,81,60,84,68,73,83,55,78.0,71.0
Forward,A. Griezmann,194765,83,84,83,84,86,85,86,82,89,85,84.0,84.0
Defender,S. de Vrij,198176,49,25,84,75,27,66,45,71,75,16,64.0,41.0
Midfielder,Koke,193747,85,72,61,86,56,80,85,84,83,76,85.0,75.0
Defender,Thiago Silva,164240,60,40,81,80,61,67,62,80,79,61,72.0,54.0
Midfielder,E. Hazard,183277,77,78,61,85,82,89,83,81,88,79,82.0,80.0
Midfielder,A. Gómez,143076,83,77,38,85,72,85,85,80,86,79,84.0,78.0
Goalkeeper,K. Schmeichel,163587,18,12,16,44,15,12,13,46,40,15,,
Midfielder,David Silva,168542,83,72,53,90,82,86,82,83,90,77,87.0,74.0
Goalkeeper,Y. Sommer,177683,13,13,10,40,8,15,12,31,25,13,,
Forward,E. Cavani,179813,68,89,88,75,86,74,76,52,81,74,70.0,86.0
Defender,L. Bonucci,184344,44,48,83,81,58,69,56,81,79,60,69.0,58.0
Goalkeeper,P. Gulácsi,185122,16,10,23,35,10,19,18,31,25,11,,
Midfielder,İ. Gündoğan,186942,78,80,50,88,75,86,86,85,89,80,85.0,80.0
Midfielder,M. Reus,188350,85,84,44,85,85,85,88,79,86,85,84.0,84.0
Defender,K. Walker,188377,77,51,74,79,57,79,76,77,81,71,76.0,63.0
Forward,P. Aubameyang,188567,76,89,73,77,83,79,81,64,81,76,75.0,85.0
Defender,R. Guerreiro,209889,84,77,43,88,79,88,85,82,87,82,85.0,77.0
Midfielder,M. Brozović,216352,72,69,70,85,65,76,79,84,84,74,80.0,74.0
Goalkeeper,M. Maignan,215698,18,15,17,55,16,32,28,46,40,16,,
Forward,T. Werner,212188,69,81,76,79,84,82,70,55,84,58,70.0,81.0
Defender,Ricardo Pereira,210243,82,66,67,82,59,81,78,77,83,52,78.0,67.0
Midfielder,H. Ziyech,208670,88,73,52,86,74,83,90,89,85,78,87.0,76.0
Midfielder,F. Kostić,208574,91,75,59,80,70,85,79,75,82,80,82.0,77.0
Midfielder,Y. Carrasco,208418,81,81,53,79,70,88,81,73,85,79,78.0,81.0
Defender,J. Giménez,216460,47,37,83,70,30,54,36,67,66,44,57.0,45.0
Midfielder,Y. Tielemans,216393,82,74,67,89,78,79,81,88,85,78,86.0,79.0
Midfielder,F. Kessié,230938,66,67,68,83,60,78,58,75,84,48,74.0,74.0
Midfielder,N. Fekir,216594,79,83,49,84,77,88,83,78,87,79,82.0,83.0
Midfielder,L. Sané,222492,83,81,72,81,85,87,83,64,84,82,79.0,81.0
Midfielder,N. Barella,224232,69,69,53,86,75,83,75,79,87,67,79.0,71.0
Defender,M. Acuña,224334,87,66,58,82,68,87,88,78,88,75,82.0,74.0
Forward,André Silva,228941,60,87,86,79,84,84,76,63,85,33,69.0,84.0
Defender,M. Ginter,207862,68,55,84,79,53,61,44,78,75,42,72.0,58.0
Defender,T. Hernández,232656,84,68,74,78,66,83,69,68,79,64,76.0,71.0
Midfielder,K. Havertz,235790,72,81,78,84,80,86,84,78,85,53,79.0,78.0
Midfielder,P. Foden,237692,75,79,47,84,59,86,73,78,88,59,80.0,78.0
Defender,Felipe,207863,45,39,83,73,44,57,32,69,64,30,58.0,41.0
Midfielder,J. Grealish,206517,81,77,36,85,72,89,78,82,88,74,83.0,76.0
Midfielder,G. Wijnaldum,181291,72,75,78,87,73,85,78,81,88,73,80.0,75.0
Goalkeeper,De Gea,193080,17,13,21,48,13,18,21,43,38,19,,
Forward,Z. Ibrahimović,41236,72,86,83,80,88,78,80,73,86,75,78.0,87.0
Defender,Jesús Navas,146536,85,65,73,83,75,84,82,79,83,46,81.0,69.0
Defender,Piqué,152729,57,65,84,80,57,63,58,80,80,43,71.0,61.0
Forward,D. Mertens,175943,73,84,40,84,70,88,82,72,88,82,80.0,82.0
Defender,L. Shaw,205988,85,44,78,82,56,80,83,69,82,54,79.0,54.0
Midfielder,J. Henderson,183711,82,73,65,85,71,78,80,87,83,74,83.0,74.0
Midfielder,Fernando,184134,62,54,74,84,56,71,65,79,78,53,75.0,62.0
Defender,K. Trippier,186345,86,54,79,81,58,74,86,80,82,82,82.0,63.0
Forward,Iago Aspas,192629,80,89,77,80,83,87,79,73,86,83,79.0,85.0
Defender,D. Alaba,197445,80,60,74,85,67,77,77,80,84,85,81.0,70.0
Midfielder,Luis Alberto,198706,69,77,49,92,76,85,86,90,91,79,86.0,76.0
Forward,W. Ben Yedder,199451,74,88,74,82,84,87,82,66,87,76,77.0,84.0
Defender,L. Digne,200458,88,60,71,81,68,78,83,73,84,83,80.0,69.0
Forward,J. Iličić,200647,82,85,58,86,83,88,85,77,88,83,84.0,86.0
Goalkeeper,E. Martínez,202811,22,16,26,50,13,13,22,51,35,20,,
Defender,H. Maguire,203263,51,48,87,78,47,71,48,84,76,46,69.0,55.0
Defender,S. Savić,204639,35,34,84,73,27,47,34,72,67,28,57.0,35.0
Midfielder,M. Sabitzer,204923,74,81,60,84,82,79,76,81,82,78,81.0,84.0
Forward,D. Zapata,215333,44,88,83,74,79,79,55,47,82,62,61.0,81.0
Midfielder,Marco Asensio,220834,81,77,57,81,79,84,84,80,86,76,81.0,80.0
Defender,L. Hernández,220814,78,53,82,74,46,65,59,63,76,39,68.0,54.0
Defender,Angeliño,220651,88,70,65,81,63,84,83,81,84,76,82.0,71.0
Forward,A. Kramarić,216354,76,87,69,81,85,87,79,63,86,78,76.0,86.0
Defender,R. Gosens,223697,82,79,82,80,71,80,69,77,82,58,74.0,75.0
Forward,Á. Correa,214997,75,85,69,82,80,88,82,66,87,65,78.0,83.0
Midfielder,P. Højbjerg,213648,66,65,65,83,60,76,70,80,80,74,76.0,71.0
Midfielder,T. Lemar,213565,83,75,54,83,76,88,85,76,86,81,82.0,76.0
Defender,Gayà,211688,80,61,58,81,58,79,80,75,82,49,77.0,61.0
Midfielder,T. Partey,209989,74,66,68,87,56,84,69,85,83,70,82.0,71.0
Forward,W. Weghorst,223689,42,87,92,76,83,65,40,43,79,37,59.0,83.0
Midfielder,L. Ocampos,205632,79,86,77,80,81,85,80,72,84,65,78.0,84.0
Midfielder,Merino,225193,77,79,81,84,58,83,80,82,84,69,81.0,78.0
Defender,P. Kimpembe,225850,59,31,80,80,33,63,50,75,78,32,68.0,42.0
Defender,F. Mendy,228618,78,63,72,80,50,80,72,78,78,35,76.0,64.0
Defender,A. Wan-Bissaka,229880,73,46,51,76,43,80,74,58,76,45,69.0,52.0
Midfielder,Arthur,230658,79,59,51,88,69,87,83,85,90,60,83.0,67.0
Forward,Gabriel Jesus,230666,66,84,77,77,77,86,76,66,86,54,72.0,81.0
Midfielder,O. Dembélé,231443,81,75,43,78,76,89,82,76,84,64,77.0,77.0
Midfielder,M. Mount,233064,82,79,59,86,75,82,81,83,85,83,84.0,79.0
Goalkeeper,É. Mendy,234642,10,5,10,39,9,13,13,46,31,14,,
Midfielder,F. Chiesa,235805,73,79,50,78,80,89,78,72,82,52,74.0,81.0
Midfielder,F. Valverde,239053,66,69,59,85,70,79,70,84,82,66,78.0,74.0
Defender,J. Koundé,241486,45,47,79,80,32,69,42,75,74,26,64.0,45.0
Midfielder,M. Kovačić,207410,73,61,42,90,76,89,79,82,89,70,83.0,69.0
Forward,João Félix,242444,73,79,69,80,81,86,82,67,87,64,76.0,79.0
Defender,A. Rüdiger,205452,68,32,81,76,34,60,35,73,69,56,68.0,43.0
Defender,K. Manolas,192774,27,25,80,65,16,54,30,61,66,10,44.0,25.0
Goalkeeper,J. Pickford,204935,17,19,15,55,20,14,18,56,40,16,,
Midfielder,Fernandinho,135507,68,66,71,83,70,76,68,81,81,71,75.0,72.0
Midfielder,A. Witsel,177413,69,71,84,90,77,78,71,83,81,68,81.0,72.0
Goalkeeper,Sergio Asenjo,178750,24,14,13,39,15,15,23,39,14,22,,
Defender,S. Kjær,179645,50,55,81,76,37,50,52,72,70,69,64.0,55.0
Forward,E. Džeko,180930,63,85,83,77,77,78,65,78,86,54,72.0,83.0
Defender,Azpilicueta,184432,80,46,77,79,51,68,68,80,77,58,76.0,55.0
Midfielder,Muniain,189575,81,79,43,85,68,87,84,74,87,78,82.0,76.0
Midfielder,Canales,190286,81,79,50,84,67,82,85,87,83,84,85.0,80.0
Goalkeeper,L. Hrádecký,190941,11,11,11,30,9,10,11,33,20,15,,
Defender,Alex Sandro,191043,84,55,76,81,68,79,78,71,80,59,77.0,65.0
Goalkeeper,B. Leno,192563,9,9,13,50,10,16,9,48,35,8,,
Defender,J. Boateng,183907,69,34,83,77,52,64,53,83,71,31,73.0,50.0
Forward,H. Mkhitaryan,192883,77,80,68,83,79,84,81,71,83,66,79.0,80.0
Forward,Morata,201153,72,84,86,78,80,83,78,60,83,44,72.0,80.0
Defender,J. Cuadrado,193082,84,70,67,81,70,90,80,69,85,69,77.0,75.0
Forward,R. Jiménez,204838,73,84,85,81,82,84,75,75,82,51,76.0,82.0
Goalkeeper,N. Pope,203841,11,14,11,32,14,15,13,35,24,12,,
Defender,J. Stones,203574,62,52,84,83,44,72,52,75,83,37,71.0,51.0
Forward,M. Icardi,201399,47,87,85,76,85,76,76,54,80,52,65.0,83.0
Defender,L. Spinazzola,202884,84,60,69,78,59,83,66,64,80,41,73.0,64.0
Forward,K. Volland,200610,78,86,76,81,85,80,79,74,80,80,79.0,85.0
Midfielder,Allan,199914,72,73,56,83,56,81,68,80,82,49,77.0,71.0
Defender,F. Acerbi,199845,25,37,82,75,39,65,62,79,72,56,62.0,50.0
Defender,J. Matip,197061,54,36,84,77,50,69,63,74,72,22,68.0,46.0
Defender,Mario Hermoso,229668,71,42,79,78,41,66,68,77,75,55,72.0,49.0
Midfielder,Rúben Neves,224293,78,66,53,88,82,76,85,85,82,84,85.0,75.0
Defender,D. Upamecano,229558,48,39,82,76,27,69,32,72,69,28,62.0,43.0
Midfielder,C. Pulisic,227796,74,73,50,77,70,88,69,59,85,58,73.0,70.0
Midfielder,Fabián,226271,72,79,67,83,67,83,75,80,86,59,79.0,78.0
Defender,J. Gomez,225100,69,26,74,78,24,67,41,65,73,29,66.0,30.0
Midfielder,Diogo Jota,224458,71,84,77,75,78,85,77,71,85,58,73.0,81.0
Midfielder,R. De Paul,212616,69,76,50,85,70,81,84,81,85,73,80.0,76.0
Midfielder,M. Ødegaard,222665,84,73,52,83,73,85,81,81,85,83,83.0,74.0
Midfielder,M. Locatelli,222077,70,69,68,85,64,78,68,83,80,64,79.0,72.0
Defender,C. Lenglet,220440,55,39,81,78,37,57,59,74,76,31,67.0,45.0
Midfielder,A. Rebić,220018,76,85,74,79,82,84,76,67,82,66,75.0,83.0
Defender,Diego Carlos,219693,35,32,79,76,34,65,47,74,71,71,63.0,47.0
Defender,Alex Telles,212462,86,63,68,82,62,77,87,81,80,79,82.0,73.0
Defender,B. Chilwell,229984,82,49,68,79,42,78,71,73,81,67,77.0,53.0
Midfielder,L. Bailey,229906,74,79,57,73,74,86,79,66,82,79,74.0,78.0
Midfielder,Ferran Torres,241461,77,81,73,80,74,84,71,78,81,60,78.0,79.0
Goalkeeper,Unai Simón,230869,16,14,18,40,17,12,20,37,16,14,,
Forward,Y. En-Nesyri,235410,48,89,84,69,76,84,63,58,79,47,58.0,83.0
Midfielder,Dani Olmo,244260,78,74,43,84,76,86,72,79,86,75,81.0,76.0
Defender,Pau Torres,241464,55,28,85,80,41,64,45,76,79,28,67.0,38.0
Goalkeeper,P. Gollini,211515,17,14,19,31,20,18,13,25,24,15,,
Defender,Éder Militão,240130,72,48,81,77,34,70,60,70,73,40,69.0,50.0
Midfielder,T. Souček,236792,69,73,83,81,59,74,63,76,77,53,74.0,72.0
Midfielder,T. Ndombele,235569,75,70,56,85,62,89,76,81,87,62,81.0,72.0
Midfielder,F. Neuhaus,234943,68,70,51,85,63,83,77,88,84,41,79.0,72.0
Forward,Richarlison,231943,73,80,83,79,75,86,74,61,83,65,73.0,78.0
Defender,A. Davies,234396,74,67,64,81,59,85,67,58,79,44,71.0,67.0
Midfielder,D. Rice,234378,50,42,71,82,40,75,58,80,79,53,71.0,53.0
Forward,A. Isak,233731,61,83,77,79,83,79,70,47,82,57,68.0,82.0
Midfielder,Raphinha,233419,78,74,45,76,72,86,81,70,83,75,76.0,76.0
Defender,D. Dumfries,233096,73,64,84,74,38,71,50,65,74,35,66.0,61.0
Defender,C. Romero,232488,39,48,83,69,53,50,43,49,68,38,52.0,46.0
Defender,N. Süle,212190,34,22,84,78,33,43,28,69,62,30,59.0,42.0
Midfielder,J. Maddison,220697,81,75,35,84,70,84,85,82,86,84,84.0,78.0
Midfielder,D. Berardi,210935,77,80,62,85,78,83,78,79,88,75,81.0,80.0
Midfielder,Isco,197781,78,76,55,81,67,91,88,80,90,76,80.0,75.0
Goalkeeper,O. Baumann,193698,14,11,16,30,11,19,12,25,17,11,,
Midfielder,I. Gueye,193474,60,54,69,80,32,76,60,76,79,66,71.0,62.0
Forward,A. Lacazette,193301,68,83,75,79,79,83,74,70,82,74,74.0,82.0
Goalkeeper,A. Areola,193105,20,19,14,48,16,15,16,37,22,16,,
Midfielder,C. Eriksen,190460,86,73,52,89,80,77,89,90,90,87,88.0,78.0
Midfielder,Coutinho,189242,78,75,48,80,78,89,90,77,89,86,80.0,79.0
Goalkeeper,K. Trapp,188943,13,13,11,25,12,10,14,12,24,12,,
Defender,Yuri Berchiche,183512,83,61,74,80,63,72,80,72,79,55,76.0,68.0
Goalkeeper,Rui Patrício,178005,12,12,11,34,16,20,10,32,25,16,,
Midfielder,G. Bale,173731,86,82,84,80,85,80,91,79,83,87,82.0,84.0
Midfielder,I. Rakitić,168651,84,77,59,85,81,79,88,86,82,82,85.0,79.0
Goalkeeper,S. Sirigu,168435,13,10,11,23,12,15,11,28,18,11,,
Goalkeeper,Ł. Fabiański,164835,14,13,11,20,17,14,18,32,22,12,,
Defender,A. Romagnoli,210413,36,30,78,75,28,65,36,70,75,24,56.0,40.0
Defender,Raúl Albiol,157481,38,27,77,74,31,59,53,72,71,45,62.0,41.0
Goalkeeper,Neto,194404,11,15,14,36,12,19,12,41,24,13,,
Midfielder,L. Stindl,187072,74,84,65,85,85,82,77,79,84,75,81.0,84.0
Forward,W. Zaha,198717,76,78,47,76,67,91,64,65,86,51,73.0,77.0
Midfielder,M. de Roon,208461,68,60,75,78,64,71,61,75,76,48,71.0,68.0
Goalkeeper,Y. Bounou,209981,15,14,14,39,13,20,12,44,12,19,,
Midfielder,Saúl,208421,69,76,83,84,76,80,73,82,82,60,78.0,78.0
Midfielder,E. Can,208333,69,76,82,83,71,82,77,83,79,64,78.0,78.0
Midfielder,H. Çalhanoğlu,208128,81,75,53,85,74,86,85,83,88,85,84.0,78.0
Midfielder,Portu,205070,78,81,77,77,74,78,80,76,80,64,77.0,78.0
Defender,Juan Bernat,205069,83,65,56,81,61,82,78,73,82,51,78.0,65.0
Midfielder,T. Hazard,203486,81,74,39,82,77,86,82,72,84,81,80.0,76.0
Midfielder,Suso,202651,84,72,50,84,72,87,87,75,88,81,82.0,76.0
Midfielder,J. Veretout,201519,69,69,59,85,72,76,69,80,82,71,77.0,75.0
Defender,Gabriel Paulista,201305,67,42,81,80,48,60,57,74,69,46,71.0,49.0
Midfielder,Campaña,199823,81,73,65,84,66,83,85,82,85,78,83.0,74.0
Goalkeeper,A. Lopes,199482,19,18,16,32,13,15,15,31,21,14,,
Forward,L. Muriel,199110,71,84,69,80,78,88,79,55,83,78,74.0,83.0
Midfielder,D. van de Beek,221363,67,78,69,81,80,76,78,78,85,65,76.0,78.0
Forward,D. Calvert-Lewin,221479,65,82,89,72,73,76,64,47,80,54,64.0,77.0
Midfielder,H. Lozano,221992,73,77,62,74,74,83,72,65,80,65,72.0,76.0
Midfielder,Gonçalo Guedes,224411,81,76,58,76,71,83,76,69,81,70,76.0,79.0
Goalkeeper,David Soria,223952,15,19,24,24,19,16,23,33,19,11,,
Midfielder,K. Phillips,224081,70,62,65,80,55,73,62,82,79,71,76.0,65.0
Defender,H. Hateboer,220093,82,64,76,78,58,79,50,70,78,30,72.0,64.0
Midfielder,K. Laimer,225375,78,69,69,82,60,78,70,78,78,47,77.0,68.0
Goalkeeper,M. Dúbravka,220407,12,10,12,48,11,19,15,45,35,13,,
Goalkeeper,J. Musso,214979,20,18,15,31,15,16,16,24,20,12,,
Defender,D. Djené,217940,60,29,77,75,22,50,51,69,71,48,62.0,37.0
Forward,Morales,216475,77,84,64,77,84,87,82,68,84,68,75.0,82.0
Midfielder,M. Politano,216409,80,76,40,79,75,83,79,76,84,77,78.0,77.0
Forward,Iñaki Williams,216201,76,77,73,74,74,81,76,66,76,53,72.0,78.0
Forward,J. Correa,215330,74,77,68,81,75,88,81,74,86,63,77.0,75.0
Midfielder,J. Brandt,212194,79,73,54,82,79,84,77,79,85,65,80.0,75.0
Forward,A. Martial,211300,73,80,71,78,76,88,84,60,86,54,73.0,80.0
Midfielder,D. Machís,210463,79,82,51,76,57,83,65,71,81,78,75.0,80.0
Defender,N. Mukiele,226166,74,40,74,73,39,73,69,70,74,33,69.0,49.0
Midfielder,N. Pépé,226110,77,79,57,76,70,85,81,66,81,79,75.0,79.0
Defender,E. Tapsoba,247263,39,54,82,81,33,66,46,80,72,32,65.0,52.0
Midfielder,G. Lo Celso,226226,79,75,60,84,69,83,82,83,85,79,82.0,76.0
Goalkeeper,Álex Remiro,227127,12,13,13,34,15,19,14,29,23,17,,
Goalkeeper,Rui Silva,210385,13,20,14,25,20,18,19,26,24,20,,
Midfielder,Pedri,251854,68,68,50,85,45,84,73,80,83,51,79.0,65.0
Defender,Renan Lodi,251573,81,64,70,77,59,81,81,75,81,57,76.0,67.0
Midfielder,D. Kulusevski,247394,80,70,54,79,80,85,83,69,87,61,77.0,74.0
Defender,Reguilón,245279,82,52,72,78,45,78,73,70,81,45,75.0,58.0
Midfielder,M. Diaby,241852,75,73,28,78,63,87,66,70,82,41,73.0,67.0
Midfielder,Cucurella,239231,81,68,57,81,55,80,78,79,81,48,78.0,67.0
Defender,R. James,238074,86,48,69,79,46,77,82,71,80,76,77.0,58.0
Defender,M. Lazzari,235374,83,67,44,78,59,82,68,75,81,58,76.0,62.0
Midfielder,H. Aouar,234906,70,76,59,86,68,86,80,80,86,72,81.0,75.0
Midfielder,H. Barnes,234742,78,78,46,77,66,82,76,68,81,69,76.0,77.0
Midfielder,Carlos Soler,234153,77,78,56,85,66,80,80,82,81,82,82.0,77.0
Midfielder,Lucas Paquetá,233927,71,74,60,82,71,85,80,79,84,73,79.0,75.0
Midfielder,C. Nkunku,232411,81,74,59,83,59,86,81,80,86,76,81.0,74.0
Forward,R. Malinovskyi,231969,79,73,74,85,70,83,85,81,85,86,83.0,80.0
Midfielder,L. Pellegrini,228251,74,72,71,86,69,78,70,82,83,70,81.0,74.0
Defender,Yeray,227950,48,41,74,78,55,56,56,70,72,50,62.0,49.0
Midfielder,P. Zieliński,210406,77,72,52,84,75,87,80,81,85,65,81.0,75.0
Goalkeeper,Aitor,193314,30,12,20,38,15,22,34,35,14,14,,
Midfielder,A. Rabiot,210008,70,69,69,84,69,80,55,80,84,59,76.0,74.0
Defender,Sergi Roberto,199564,82,63,70,81,50,78,78,78,80,60,80.0,63.0
Midfielder,J. Rodríguez,198710,89,84,62,84,90,86,89,85,90,86,86.0,86.0
Forward,D. Ings,195859,66,86,78,75,76,78,72,61,81,70,70.0,84.0
Midfielder,K. Kampl,195365,72,62,34,87,68,85,80,78,84,75,81.0,67.0
Forward,A. Delort,193983,74,82,84,75,83,76,69,64,74,71,73.0,82.0
Midfielder,T. Delaney,193283,68,68,83,76,67,73,71,80,75,68,74.0,71.0
Midfielder,B. André,190674,72,61,80,79,56,75,68,77,76,46,74.0,64.0
Forward,M. Kruse,183574,79,80,63,83,80,82,82,80,84,69,81.0,81.0
Midfielder,A. Vidal,181872,76,75,81,81,78,76,76,79,83,68,79.0,79.0
Midfielder,I. Perišić,181458,80,78,80,78,81,78,73,72,80,75,76.0,79.0
Midfielder,Lucas Leiva,176266,63,62,72,78,59,74,74,77,77,47,73.0,65.0
Defender,José Fonte,171791,47,42,85,74,36,61,51,69,68,32,62.0,46.0
Goalkeeper,S. Mandanda,163705,14,13,13,46,13,19,13,36,27,12,,
Goalkeeper,A. Consigli,163489,10,10,10,31,19,10,15,27,23,15,,
Midfielder,H. Herrera,156519,65,72,61,81,59,76,69,79,78,68,76.0,75.0
Forward,B. Yılmaz,124375,68,83,75,70,77,72,68,61,74,78,69.0,83.0
Midfielder,Joaquín,45186,84,83,65,84,68,84,86,83,83,77,84.0,80.0
