sofifa_id,short_name,player_face_url,Positions,club_name,preferred_foot,club_contract_valid_until
192505,R. Lukaku,https://cdn.sofifa.net/players/192/505/22_120.png,Forward,Chelsea,Left,2026.0
193041,K. Navas,https://cdn.sofifa.net/players/193/041/22_120.png,Goalkeeper,Paris Saint-Germain,Right,2024.0
202652,R. Sterling,https://cdn.sofifa.net/players/202/652/22_120.png,Midfielder,Manchester City,Right,2023.0
212198,Bruno Fernandes,https://cdn.sofifa.net/players/212/198/22_120.png,Midfielder,Manchester United,Right,2025.0
239085,E. Haaland,https://cdn.sofifa.net/players/239/085/22_120.png,Forward,Borussia Dortmund,Left,2024.0
153079,S. Agüero,https://cdn.sofifa.net/players/153/079/22_120.png,Forward,FC Barcelona,Right,2023.0
167948,H. Lloris,https://cdn.sofifa.net/players/167/948/22_120.png,Goalkeeper,Tottenham Hotspur,Left,2022.0
177003,L. Modrić,https://cdn.sofifa.net/players/177/003/22_120.png,Midfielder,Real Madrid CF,Right,2022.0
183898,Á. Di María,https://cdn.sofifa.net/players/183/898/22_120.png,Midfielder,Paris Saint-Germain,Left,2022.0
186153,W. Szczęsny,https://cdn.sofifa.net/players/186/153/22_120.png,Goalkeeper,Juventus,Right,2024.0
189596,T. Müller,https://cdn.sofifa.net/players/189/596/22_120.png,Midfielder,FC Bayern München,Right,2023.0
192387,C. Immobile,https://cdn.sofifa.net/players/192/387/22_120.png,Forward,Lazio,Right,2025.0
195864,P. Pogba,https://cdn.sofifa.net/players/195/864/22_120.png,Midfielder,Manchester United,Right,2022.0
199556,M. Verratti,https://cdn.sofifa.net/players/199/556/22_120.png,Midfielder,Paris Saint-Germain,Right,2024.0
207865,Marquinhos,https://cdn.sofifa.net/players/207/865/22_120.png,Defender,Paris Saint-Germain,Right,2024.0
209658,L. Goretzka,https://cdn.sofifa.net/players/209/658/22_120.png,Midfielder,FC Bayern München,Right,2026.0
211110,P. Dybala,https://cdn.sofifa.net/players/211/110/22_120.png,Forward,Juventus,Left,2022.0
216267,A. Robertson,https://cdn.sofifa.net/players/216/267/22_120.png,Defender,Liverpool,Left,2026.0
228702,F. de Jong,https://cdn.sofifa.net/players/228/702/22_120.png,Midfielder,FC Barcelona,Right,2026.0
231281,T. Alexander-Arnold,https://cdn.sofifa.net/players/231/281/22_120.png,Defender,Liverpool,Right,2025.0
233049,J. Sancho,https://cdn.sofifa.net/players/233/049/22_120.png,Midfielder,Manchester United,Right,2026.0
239818,Rúben Dias,https://cdn.sofifa.net/players/239/818/22_120.png,Defender,Manchester City,Right,2027.0
138956,G. Chiellini,https://cdn.sofifa.net/players/138/956/22_120.png,Defender,Juventus,Left,2023.0
162835,S. Handanovič,https://cdn.sofifa.net/players/162/835/22_120.png,Goalkeeper,Inter,Right,2022.0
178603,M. Hummels,https://cdn.sofifa.net/players/178/603/22_120.png,Defender,Borussia Dortmund,Right,2022.0
189332,Jordi Alba,https://cdn.sofifa.net/players/189/332/22_120.png,Defender,FC Barcelona,Left,2024.0
189509,Thiago,https://cdn.sofifa.net/players/189/509/22_120.png,Midfielder,Liverpool,Right,2024.0
189511,Sergio Busquets,https://cdn.sofifa.net/players/189/511/22_120.png,Midfielder,FC Barcelona,Right,2023.0
189513,Parejo,https://cdn.sofifa.net/players/189/513/22_120.png,Midfielder,Villarreal CF,Right,2024.0
192984,K. Casteels,https://cdn.sofifa.net/players/192/984/22_120.png,Goalkeeper,VfL Wolfsburg,Left,2024.0
198219,L. Insigne,https://cdn.sofifa.net/players/198/219/22_120.png,Midfielder,Napoli,Right,2022.0
201024,K. Koulibaly,https://cdn.sofifa.net/players/201/024/22_120.png,Defender,Napoli,Right,2023.0
201535,R. Varane,https://cdn.sofifa.net/players/201/535/22_120.png,Defender,Manchester United,Right,2025.0
204485,R. Mahrez,https://cdn.sofifa.net/players/204/485/22_120.png,Midfielder,Manchester City,Left,2023.0
208093,Gerard Moreno,https://cdn.sofifa.net/players/208/093/22_120.png,Forward,Villarreal CF,Left,2027.0
208830,J. Vardy,https://cdn.sofifa.net/players/208/830/22_120.png,Forward,Leicester City,Right,2023.0
209499,Fabinho,https://cdn.sofifa.net/players/209/499/22_120.png,Midfielder,Liverpool,Right,2026.0
210514,João Cancelo,https://cdn.sofifa.net/players/210/514/22_120.png,Defender,Manchester City,Right,2025.0
212218,A. Laporte,https://cdn.sofifa.net/players/212/218/22_120.png,Defender,Manchester City,Left,2024.0
213345,K. Coman,https://cdn.sofifa.net/players/213/345/22_120.png,Midfielder,FC Bayern München,Right,2023.0
218667,Bernardo Silva,https://cdn.sofifa.net/players/218/667/22_120.png,Midfielder,Manchester City,Left,2025.0
226161,Marcos Llorente,https://cdn.sofifa.net/players/226/161/22_120.png,Midfielder,Atlético de Madrid,Right,2027.0
231866,Rodri,https://cdn.sofifa.net/players/231/866/22_120.png,Midfielder,Manchester City,Right,2024.0
232363,M. Škriniar,https://cdn.sofifa.net/players/232/363/22_120.png,Defender,Inter,Right,2023.0
143076,A. Gómez,https://cdn.sofifa.net/players/143/076/22_120.png,Midfielder,Sevilla FC,Right,2024.0
163587,K. Schmeichel,https://cdn.sofifa.net/players/163/587/22_120.png,Goalkeeper,Leicester City,Right,2023.0
164240,Thiago Silva,https://cdn.sofifa.net/players/164/240/22_120.png,Defender,Chelsea,Right,2022.0
168542,David Silva,https://cdn.sofifa.net/players/168/542/22_120.png,Midfielder,Real Sociedad,Left,2022.0
177683,Y. Sommer,https://cdn.sofifa.net/players/177/683/22_120.png,Goalkeeper,Borussia Mönchengladbach,Right,2023.0
179813,E. Cavani,https://cdn.sofifa.net/players/179/813/22_120.png,Forward,Manchester United,Right,2022.0
183277,E. Hazard,https://cdn.sofifa.net/players/183/277/22_120.png,Midfielder,Real Madrid CF,Right,2024.0
184344,L. Bonucci,https://cdn.sofifa.net/players/184/344/22_120.png,Defender,Juventus,Right,2024.0
185122,P. Gulácsi,https://cdn.sofifa.net/players/185/122/22_120.png,Goalkeeper,RB Leipzig,Right,2025.0
186942,İ. Gündoğan,https://cdn.sofifa.net/players/186/942/22_120.png,Midfielder,Manchester City,Right,2023.0
188350,M. Reus,https://cdn.sofifa.net/players/188/350/22_120.png,Midfielder,Borussia Dortmund,Right,2023.0
188377,K. Walker,https://cdn.sofifa.net/players/188/377/22_120.png,Defender,Manchester City,Right,2024.0
188567,P. Aubameyang,https://cdn.sofifa.net/players/188/567/22_120.png,Forward,Arsenal,Right,2023.0
193747,Koke,https://cdn.sofifa.net/players/193/747/22_120.png,Midfielder,Atlético de Madrid,Right,2024.0
194765,A. Griezmann,https://cdn.sofifa.net/players/194/765/22_120.png,Forward,Atlético de Madrid,Left,2022.0
198176,S. de Vrij,https://cdn.sofifa.net/players/198/176/22_120.png,Defender,Inter,Right,2023.0
201942,Roberto Firmino,https://cdn.sofifa.net/players/201/942/22_120.png,Forward,Liverpool,Right,2023.0
202556,M. Depay,https://cdn.sofifa.net/players/202/556/22_120.png,Forward,FC Barcelona,Right,2023.0
204963,Carvajal,https://cdn.sofifa.net/players/204/963/22_120.png,Defender,Real Madrid CF,Right,2025.0
205498,Jorginho,https://cdn.sofifa.net/players/205/498/22_120.png,Midfielder,Chelsea,Right,2023.0
206113,S. Gnabry,https://cdn.sofifa.net/players/206/113/22_120.png,Midfielder,FC Bayern München,Right,2023.0
223848,S. Milinković-Savić,https://cdn.sofifa.net/players/223/848/22_120.png,Midfielder,Lazio,Right,2024.0
226790,W. Ndidi,https://cdn.sofifa.net/players/226/790/22_120.png,Midfielder,Leicester City,Right,2024.0
230142,Oyarzabal,https://cdn.sofifa.net/players/230/142/22_120.png,Midfielder,Real Sociedad,Left,2024.0
231478,L. Martínez,https://cdn.sofifa.net/players/231/478/22_120.png,Forward,Inter,Right,2023.0
231677,M. Rashford,https://cdn.sofifa.net/players/231/677/22_120.png,Midfielder,Manchester United,Right,2023.0
235212,A. Hakimi,https://cdn.sofifa.net/players/235/212/22_120.png,Defender,Paris Saint-Germain,Right,2026.0
235243,M. de Ligt,https://cdn.sofifa.net/players/235/243/22_120.png,Defender,Juventus,Right,2024.0
41236,Z. Ibrahimović,https://cdn.sofifa.net/players/041/236/22_120.png,Forward,AC Milan,Right,2022.0
146536,Jesús Navas,https://cdn.sofifa.net/players/146/536/22_120.png,Defender,Sevilla FC,Right,2024.0
152729,Piqué,https://cdn.sofifa.net/players/152/729/22_120.png,Defender,FC Barcelona,Right,2024.0
175943,D. Mertens,https://cdn.sofifa.net/players/175/943/22_120.png,Forward,Napoli,Right,2022.0
181291,G. Wijnaldum,https://cdn.sofifa.net/players/181/291/22_120.png,Midfielder,Paris Saint-Germain,Right,2024.0
183711,J. Henderson,https://cdn.sofifa.net/players/183/711/22_120.png,Midfielder,Liverpool,Right,2025.0
184134,Fernando,https://cdn.sofifa.net/players/184/134/22_120.png,Midfielder,Sevilla FC,Right,2022.0
186345,K. Trippier,https://cdn.sofifa.net/players/186/345/22_120.png,Defender,Atlético de Madrid,Right,2023.0
192629,Iago Aspas,https://cdn.sofifa.net/players/192/629/22_120.png,Forward,RC Celta de Vigo,Left,2023.0
193080,De Gea,https://cdn.sofifa.net/players/193/080/22_120.png,Goalkeeper,Manchester United,Right,2023.0
197445,D. Alaba,https://cdn.sofifa.net/players/197/445/22_120.png,Defender,Real Madrid CF,Left,2026.0
198706,Luis Alberto,https://cdn.sofifa.net/players/198/706/22_120.png,Midfielder,Lazio,Right,2025.0
199451,W. Ben Yedder,https://cdn.sofifa.net/players/199/451/22_120.png,Forward,AS Monaco,Right,2024.0
200458,L. Digne,https://cdn.sofifa.net/players/200/458/22_120.png,Defender,Everton,Left,2023.0
200647,J. Iličić,https://cdn.sofifa.net/players/200/647/22_120.png,Forward,Atalanta,Left,2022.0
202811,E. Martínez,https://cdn.sofifa.net/players/202/811/22_120.png,Goalkeeper,Aston Villa,Right,2024.0
203263,H. Maguire,https://cdn.sofifa.net/players/203/263/22_120.png,Defender,Manchester United,Right,2024.0
204639,S. Savić,https://cdn.sofifa.net/players/204/639/22_120.png,Defender,Atlético de Madrid,Right,2024.0
204923,M. Sabitzer,https://cdn.sofifa.net/players/204/923/22_120.png,Midfielder,FC Bayern München,Right,2025.0
205988,L. Shaw,https://cdn.sofifa.net/players/205/988/22_120.png,Defender,Manchester United,Left,2023.0
206517,J. Grealish,https://cdn.sofifa.net/players/206/517/22_120.png,Midfielder,Manchester City,Right,2027.0
207862,M. Ginter,https://cdn.sofifa.net/players/207/862/22_120.png,Defender,Borussia Mönchengladbach,Right,2022.0
207863,Felipe,https://cdn.sofifa.net/players/207/863/22_120.png,Defender,Atlético de Madrid,Right,2022.0
208418,Y. Carrasco,https://cdn.sofifa.net/players/208/418/22_120.png,Midfielder,Atlético de Madrid,Right,2024.0
208574,F. Kostić,https://cdn.sofifa.net/players/208/574/22_120.png,Midfielder,Eintracht Frankfurt,Left,2023.0
208670,H. Ziyech,https://cdn.sofifa.net/players/208/670/22_120.png,Midfielder,Chelsea,Left,2025.0
209889,R. Guerreiro,https://cdn.sofifa.net/players/209/889/22_120.png,Defender,Borussia Dortmund,Left,2023.0
210243,Ricardo Pereira,https://cdn.sofifa.net/players/210/243/22_120.png,Defender,Leicester City,Right,2023.0
212188,T. Werner,https://cdn.sofifa.net/players/212/188/22_120.png,Forward,Chelsea,Right,2025.0
215698,M. Maignan,https://cdn.sofifa.net/players/215/698/22_120.png,Goalkeeper,AC Milan,Right,2026.0
216352,M. Brozović,https://cdn.sofifa.net/players/216/352/22_120.png,Midfielder,Inter,Right,2022.0
216393,Y. Tielemans,https://cdn.sofifa.net/players/216/393/22_120.png,Midfielder,Leicester City,Right,2023.0
216460,J. Giménez,https://cdn.sofifa.net/players/216/460/22_120.png,Defender,Atlético de Madrid,Right,2025.0
216594,N. Fekir,https://cdn.sofifa.net/players/216/594/22_120.png,Midfielder,Real Betis Balompié,Left,2023.0
222492,L. Sané,https://cdn.sofifa.net/players/222/492/22_120.png,Midfielder,FC Bayern München,Left,2025.0
224232,N. Barella,https://cdn.sofifa.net/players/224/232/22_120.png,Midfielder,Inter,Right,2024.0
224334,M. Acuña,https://cdn.sofifa.net/players/224/334/22_120.png,Defender,Sevilla FC,Left,2024.0
228941,André Silva,https://cdn.sofifa.net/players/228/941/22_120.png,Forward,RB Leipzig,Right,2026.0
230938,F. Kessié,https://cdn.sofifa.net/players/230/938/22_120.png,Midfielder,AC Milan,Right,2022.0
232656,T. Hernández,https://cdn.sofifa.net/players/232/656/22_120.png,Defender,AC Milan,Left,2024.0
235790,K. Havertz,https://cdn.sofifa.net/players/235/790/22_120.png,Midfielder,Chelsea,Left,2025.0
237692,P. Foden,https://cdn.sofifa.net/players/237/692/22_120.png,Midfielder,Manchester City,Left,2024.0
135507,Fernandinho,https://cdn.sofifa.net/players/135/507/22_120.png,Midfielder,Manchester City,Right,2022.0
177413,A. Witsel,https://cdn.sofifa.net/players/177/413/22_120.png,Midfielder,Borussia Dortmund,Right,2022.0
178750,Sergio Asenjo,https://cdn.sofifa.net/players/178/750/22_120.png,Goalkeeper,Villarreal CF,Right,2022.0
179645,S. Kjær,https://cdn.sofifa.net/players/179/645/22_120.png,Defender,AC Milan,Right,2022.0
180930,E. Džeko,https://cdn.sofifa.net/players/180/930/22_120.png,Forward,Inter,Right,2023.0
183907,J. Boateng,https://cdn.sofifa.net/players/183/907/22_120.png,Defender,Olympique Lyonnais,Right,2023.0
184432,Azpilicueta,https://cdn.sofifa.net/players/184/432/22_120.png,Defender,Chelsea,Right,2022.0
189575,Muniain,https://cdn.sofifa.net/players/189/575/22_120.png,Midfielder,Athletic Club de Bilbao,Right,2024.0
190286,Canales,https://cdn.sofifa.net/players/190/286/22_120.png,Midfielder,Real Betis Balompié,Left,2023.0
190941,L. Hrádecký,https://cdn.sofifa.net/players/190/941/22_120.png,Goalkeeper,Bayer 04 Leverkusen,Right,2023.0
191043,Alex Sandro,https://cdn.sofifa.net/players/191/043/22_120.png,Defender,Juventus,Left,2023.0
192563,B. Leno,https://cdn.sofifa.net/players/192/563/22_120.png,Goalkeeper,Arsenal,Right,2023.0
192774,K. Manolas,https://cdn.sofifa.net/players/192/774/22_120.png,Defender,Napoli,Right,2024.0
192883,H. Mkhitaryan,https://cdn.sofifa.net/players/192/883/22_120.png,Forward,Roma,Right,2022.0
193082,J. Cuadrado,https://cdn.sofifa.net/players/193/082/22_120.png,Defender,Juventus,Right,2022.0
197061,J. Matip,https://cdn.sofifa.net/players/197/061/22_120.png,Defender,Liverpool,Right,2024.0
199845,F. Acerbi,https://cdn.sofifa.net/players/199/845/22_120.png,Defender,Lazio,Left,2023.0
199914,Allan,https://cdn.sofifa.net/players/199/914/22_120.png,Midfielder,Everton,Right,2023.0
200610,K. Volland,https://cdn.sofifa.net/players/200/610/22_120.png,Forward,AS Monaco,Left,2024.0
201153,Morata,https://cdn.sofifa.net/players/201/153/22_120.png,Forward,Juventus,Right,2022.0
201399,M. Icardi,https://cdn.sofifa.net/players/201/399/22_120.png,Forward,Paris Saint-Germain,Right,2024.0
202884,L. Spinazzola,https://cdn.sofifa.net/players/202/884/22_120.png,Defender,Roma,Right,2024.0
203574,J. Stones,https://cdn.sofifa.net/players/203/574/22_120.png,Defender,Manchester City,Right,2026.0
203841,N. Pope,https://cdn.sofifa.net/players/203/841/22_120.png,Goalkeeper,Burnley,Right,2023.0
204838,R. Jiménez,https://cdn.sofifa.net/players/204/838/22_120.png,Forward,Wolverhampton Wanderers,Right,2024.0
204935,J. Pickford,https://cdn.sofifa.net/players/204/935/22_120.png,Goalkeeper,Everton,Left,2024.0
205452,A. Rüdiger,https://cdn.sofifa.net/players/205/452/22_120.png,Defender,Chelsea,Right,2022.0
205632,L. Ocampos,https://cdn.sofifa.net/players/205/632/22_120.png,Midfielder,Sevilla FC,Right,2024.0
207410,M. Kovačić,https://cdn.sofifa.net/players/207/410/22_120.png,Midfielder,Chelsea,Right,2024.0
209989,T. Partey,https://cdn.sofifa.net/players/209/989/22_120.png,Midfielder,Arsenal,Right,2024.0
211688,Gayà,https://cdn.sofifa.net/players/211/688/22_120.png,Defender,Valencia CF,Left,2023.0
213565,T. Lemar,https://cdn.sofifa.net/players/213/565/22_120.png,Midfielder,Atlético de Madrid,Left,2023.0
213648,P. Højbjerg,https://cdn.sofifa.net/players/213/648/22_120.png,Midfielder,Tottenham Hotspur,Right,2025.0
214997,Á. Correa,https://cdn.sofifa.net/players/214/997/22_120.png,Forward,Atlético de Madrid,Right,2024.0
215333,D. Zapata,https://cdn.sofifa.net/players/215/333/22_120.png,Forward,Atalanta,Right,2023.0
216354,A. Kramarić,https://cdn.sofifa.net/players/216/354/22_120.png,Forward,TSG Hoffenheim,Right,2022.0
220651,Angeliño,https://cdn.sofifa.net/players/220/651/22_120.png,Defender,RB Leipzig,Left,2025.0
220814,L. Hernández,https://cdn.sofifa.net/players/220/814/22_120.png,Defender,FC Bayern München,Left,2024.0
220834,Marco Asensio,https://cdn.sofifa.net/players/220/834/22_120.png,Midfielder,Real Madrid CF,Left,2023.0
223689,W. Weghorst,https://cdn.sofifa.net/players/223/689/22_120.png,Forward,VfL Wolfsburg,Right,2023.0
223697,R. Gosens,https://cdn.sofifa.net/players/223/697/22_120.png,Defender,Atalanta,Left,2023.0
225193,Merino,https://cdn.sofifa.net/players/225/193/22_120.png,Midfielder,Real Sociedad,Left,2025.0
225850,P. Kimpembe,https://cdn.sofifa.net/players/225/850/22_120.png,Defender,Paris Saint-Germain,Left,2024.0
228618,F. Mendy,https://cdn.sofifa.net/players/228/618/22_120.png,Defender,Real Madrid CF,Left,2025.0
229880,A. Wan-Bissaka,https://cdn.sofifa.net/players/229/880/22_120.png,Defender,Manchester United,Right,2024.0
230658,Arthur,https://cdn.sofifa.net/players/230/658/22_120.png,Midfielder,Juventus,Right,2024.0
230666,Gabriel Jesus,https://cdn.sofifa.net/players/230/666/22_120.png,Forward,Manchester City,Right,2023.0
231443,O. Dembélé,https://cdn.sofifa.net/players/231/443/22_120.png,Midfielder,FC Barcelona,Left,2022.0
233064,M. Mount,https://cdn.sofifa.net/players/233/064/22_120.png,Midfielder,Chelsea,Right,2024.0
234642,É. Mendy,https://cdn.sofifa.net/players/234/642/22_120.png,Goalkeeper,Chelsea,Right,2025.0
235805,F. Chiesa,https://cdn.sofifa.net/players/235/805/22_120.png,Midfielder,Juventus,Right,2022.0
239053,F. Valverde,https://cdn.sofifa.net/players/239/053/22_120.png,Midfielder,Real Madrid CF,Right,2027.0
241486,J. Koundé,https://cdn.sofifa.net/players/241/486/22_120.png,Defender,Sevilla FC,Right,2024.0
242444,João Félix,https://cdn.sofifa.net/players/242/444/22_120.png,Forward,Atlético de Madrid,Right,2026.0
157481,Raúl Albiol,https://cdn.sofifa.net/players/157/481/22_120.png,Defender,Villarreal CF,Right,2022.0
164835,Ł. Fabiański,https://cdn.sofifa.net/players/164/835/22_120.png,Goalkeeper,West Ham United,Right,2022.0
168435,S. Sirigu,https://cdn.sofifa.net/players/168/435/22_120.png,Goalkeeper,Genoa,Right,2022.0
168651,I. Rakitić,https://cdn.sofifa.net/players/168/651/22_120.png,Midfielder,Sevilla FC,Right,2024.0
173731,G. Bale,https://cdn.sofifa.net/players/173/731/22_120.png,Midfielder,Real Madrid CF,Left,2022.0
178005,Rui Patrício,https://cdn.sofifa.net/players/178/005/22_120.png,Goalkeeper,Roma,Left,2024.0
183512,Yuri Berchiche,https://cdn.sofifa.net/players/183/512/22_120.png,Defender,Athletic Club de Bilbao,Left,2022.0
187072,L. Stindl,https://cdn.sofifa.net/players/187/072/22_120.png,Midfielder,Borussia Mönchengladbach,Right,2023.0
188943,K. Trapp,https://cdn.sofifa.net/players/188/943/22_120.png,Goalkeeper,Eintracht Frankfurt,Right,2024.0
189242,Coutinho,https://cdn.sofifa.net/players/189/242/22_120.png,Midfielder,FC Barcelona,Right,2023.0
190460,C. Eriksen,https://cdn.sofifa.net/players/190/460/22_120.png,Midfielder,Inter,Right,2024.0
193105,A. Areola,https://cdn.sofifa.net/players/193/105/22_120.png,Goalkeeper,West Ham United,Right,2022.0
193301,A. Lacazette,https://cdn.sofifa.net/players/193/301/22_120.png,Forward,Arsenal,Right,2022.0
193474,I. Gueye,https://cdn.sofifa.net/players/193/474/22_120.png,Midfielder,Paris Saint-Germain,Right,2023.0
193698,O. Baumann,https://cdn.sofifa.net/players/193/698/22_120.png,Goalkeeper,TSG Hoffenheim,Right,2023.0
194404,Neto,https://cdn.sofifa.net/players/194/404/22_120.png,Goalkeeper,FC Barcelona,Right,2023.0
197781,Isco,https://cdn.sofifa.net/players/197/781/22_120.png,Midfielder,Real Madrid CF,Right,2022.0
198717,W. Zaha,https://cdn.sofifa.net/players/198/717/22_120.png,Forward,Crystal Palace,Right,2023.0
199110,L. Muriel,https://cdn.sofifa.net/players/199/110/22_120.png,Forward,Atalanta,Right,2024.0
199482,A. Lopes,https://cdn.sofifa.net/players/199/482/22_120.png,Goalkeeper,Olympique Lyonnais,Left,2023.0
199823,Campaña,https://cdn.sofifa.net/players/199/823/22_120.png,Midfielder,Levante Unión Deportiva,Right,2023.0
201305,Gabriel Paulista,https://cdn.sofifa.net/players/201/305/22_120.png,Defender,Valencia CF,Right,2024.0
201519,J. Veretout,https://cdn.sofifa.net/players/201/519/22_120.png,Midfielder,Roma,Right,2024.0
202651,Suso,https://cdn.sofifa.net/players/202/651/22_120.png,Midfielder,Sevilla FC,Left,2025.0
203486,T. Hazard,https://cdn.sofifa.net/players/203/486/22_120.png,Midfielder,Borussia Dortmund,Right,2024.0
205069,Juan Bernat,https://cdn.sofifa.net/players/205/069/22_120.png,Defender,Paris Saint-Germain,Left,2025.0
205070,Portu,https://cdn.sofifa.net/players/205/070/22_120.png,Midfielder,Real Sociedad,Right,2024.0
208128,H. Çalhanoğlu,https://cdn.sofifa.net/players/208/128/22_120.png,Midfielder,Inter,Right,2024.0
208333,E. Can,https://cdn.sofifa.net/players/208/333/22_120.png,Midfielder,Borussia Dortmund,Right,2024.0
208421,Saúl,https://cdn.sofifa.net/players/208/421/22_120.png,Midfielder,Chelsea,Left,2022.0
208461,M. de Roon,https://cdn.sofifa.net/players/208/461/22_120.png,Midfielder,Atalanta,Right,2024.0
209981,Y. Bounou,https://cdn.sofifa.net/players/209/981/22_120.png,Goalkeeper,Sevilla FC,Left,2024.0
210413,A. Romagnoli,https://cdn.sofifa.net/players/210/413/22_120.png,Defender,AC Milan,Left,2022.0
210935,D. Berardi,https://cdn.sofifa.net/players/210/935/22_120.png,Midfielder,U.S. Sassuolo Calcio,Left,2024.0
211515,P. Gollini,https://cdn.sofifa.net/players/211/515/22_120.png,Goalkeeper,Tottenham Hotspur,Right,2022.0
212190,N. Süle,https://cdn.sofifa.net/players/212/190/22_120.png,Defender,FC Bayern München,Right,2022.0
212462,Alex Telles,https://cdn.sofifa.net/players/212/462/22_120.png,Defender,Manchester United,Left,2024.0
212616,R. De Paul,https://cdn.sofifa.net/players/212/616/22_120.png,Midfielder,Atlético de Madrid,Right,2026.0
219693,Diego Carlos,https://cdn.sofifa.net/players/219/693/22_120.png,Defender,Sevilla FC,Right,2024.0
220018,A. Rebić,https://cdn.sofifa.net/players/220/018/22_120.png,Midfielder,AC Milan,Right,2025.0
220440,C. Lenglet,https://cdn.sofifa.net/players/220/440/22_120.png,Defender,FC Barcelona,Left,2026.0
220697,J. Maddison,https://cdn.sofifa.net/players/220/697/22_120.png,Midfielder,Leicester City,Right,2024.0
222077,M. Locatelli,https://cdn.sofifa.net/players/222/077/22_120.png,Midfielder,Juventus,Right,2023.0
222665,M. Ødegaard,https://cdn.sofifa.net/players/222/665/22_120.png,Midfielder,Arsenal,Left,2026.0
224293,Rúben Neves,https://cdn.sofifa.net/players/224/293/22_120.png,Midfielder,Wolverhampton Wanderers,Right,2024.0
224458,Diogo Jota,https://cdn.sofifa.net/players/224/458/22_120.png,Midfielder,Liverpool,Right,2025.0
225100,J. Gomez,https://cdn.sofifa.net/players/225/100/22_120.png,Defender,Liverpool,Right,2024.0
226271,Fabián,https://cdn.sofifa.net/players/226/271/22_120.png,Midfielder,Napoli,Left,2023.0
227796,C. Pulisic,https://cdn.sofifa.net/players/227/796/22_120.png,Midfielder,Chelsea,Right,2024.0
229558,D. Upamecano,https://cdn.sofifa.net/players/229/558/22_120.png,Defender,FC Bayern München,Right,2026.0
229668,Mario Hermoso,https://cdn.sofifa.net/players/229/668/22_120.png,Defender,Atlético de Madrid,Left,2024.0
229906,L. Bailey,https://cdn.sofifa.net/players/229/906/22_120.png,Midfielder,Aston Villa,Left,2025.0
229984,B. Chilwell,https://cdn.sofifa.net/players/229/984/22_120.png,Defender,Chelsea,Left,2025.0
230869,Unai Simón,https://cdn.sofifa.net/players/230/869/22_120.png,Goalkeeper,Athletic Club de Bilbao,Right,2025.0
