Positions,sofifa_id,short_name,Diving,Handling,Kicking,Positioning,Reflexes,Speed,ShortPassing,LongPassing
Goalkeeper,177683,Y. Sommer,79,81,84,86,86,50.0,40,31
Forward,179813,E. Cavani,12,5,13,13,10,,75,52
Defender,184344,L. Bonucci,2,2,3,2,4,,81,81
Goalkeeper,185122,P. Gulácsi,85,84,76,82,86,43.0,35,31
Midfielder,186942,İ. Gündoğan,11,14,5,5,13,,88,85
Midfielder,188350,M. Reus,12,12,13,13,11,,85,79
Defender,188377,K. Walker,12,6,16,15,8,,79,77
Forward,188567,P. Aubameyang,6,9,15,9,9,,77,64
Defender,209889,R. Guerreiro,12,6,8,11,8,,88,82
Midfielder,216352,M. Brozović,8,8,15,11,8,,85,84
Goalkeeper,215698,M. Maignan,83,81,85,84,86,50.0,55,46
Forward,212188,T. Werner,9,9,8,15,9,,79,55
Defender,210243,Ricardo Pereira,16,12,15,11,11,,82,77
Midfielder,208670,H. Ziyech,11,7,11,8,14,,86,89
Midfielder,208574,F. Kostić,13,14,12,12,13,,80,75
Midfielder,208418,Y. Carrasco,9,11,9,10,10,,79,73
Defender,216460,J. Giménez,9,11,7,10,15,,70,67
Midfielder,216393,Y. Tielemans,6,8,10,14,12,,89,88
Midfielder,230938,F. Kessié,9,11,12,12,10,,83,75
Midfielder,216594,N. Fekir,15,9,8,14,15,,84,78
Midfielder,222492,L. Sané,8,12,9,9,14,,81,64
Midfielder,224232,N. Barella,11,5,13,14,11,,86,79
Defender,224334,M. Acuña,8,14,13,13,14,,82,78
Forward,228941,André Silva,14,13,7,11,8,,79,63
Defender,207862,M. Ginter,12,10,6,8,10,,79,78
Defender,232656,T. Hernández,12,10,7,7,7,,78,68
Midfielder,235790,K. Havertz,6,8,11,10,12,,84,78
Midfielder,237692,P. Foden,8,15,6,10,13,,84,78
Defender,207863,Felipe,9,11,14,9,7,,73,69
Midfielder,206517,J. Grealish,11,6,11,10,13,,85,82
Midfielder,181291,G. Wijnaldum,16,6,14,12,6,,87,81
Goalkeeper,193080,De Gea,86,79,76,79,87,57.0,48,43
Forward,41236,Z. Ibrahimović,13,15,10,9,12,,80,73
Defender,146536,Jesús Navas,10,10,15,7,13,,83,79
Defender,152729,Piqué,10,11,14,15,8,,80,80
Forward,175943,D. Mertens,7,10,8,10,4,,84,72
Defender,205988,L. Shaw,10,12,13,7,7,,82,69
Midfielder,183711,J. Henderson,7,13,7,9,13,,85,87
Midfielder,184134,Fernando,7,5,9,3,5,,84,79
Defender,186345,K. Trippier,11,14,8,11,10,,81,80
Forward,192629,Iago Aspas,12,16,9,12,13,,80,73
Defender,197445,D. Alaba,5,7,14,15,9,,85,80
Midfielder,198706,Luis Alberto,6,8,6,12,11,,92,90
Forward,199451,W. Ben Yedder,6,13,9,7,7,,82,66
Defender,200458,L. Digne,6,12,9,6,13,,81,73
Forward,200647,J. Iličić,13,13,8,12,6,,86,77
Goalkeeper,202811,E. Martínez,85,83,82,83,85,58.0,50,51
Defender,203263,H. Maguire,14,16,9,14,9,,78,84
Defender,204639,S. Savić,14,13,14,13,12,,73,72
Midfielder,204923,M. Sabitzer,11,13,14,15,13,,84,81
Forward,215333,D. Zapata,9,9,8,6,8,,74,47
Midfielder,220834,Marco Asensio,13,9,6,12,10,,81,80
Defender,220814,L. Hernández,10,7,8,14,10,,74,63
Defender,220651,Angeliño,13,6,13,13,13,,81,81
Forward,216354,A. Kramarić,8,14,14,7,15,,81,63
Defender,223697,R. Gosens,7,16,15,16,10,,80,77
Forward,214997,Á. Correa,13,10,9,8,16,,82,66
Midfielder,213648,P. Højbjerg,9,7,12,11,11,,83,80
Midfielder,213565,T. Lemar,11,15,13,7,14,,83,76
Defender,211688,Gayà,13,10,9,12,9,,81,75
Midfielder,209989,T. Partey,11,13,9,9,7,,87,85
Forward,223689,W. Weghorst,11,9,14,16,12,,76,43
Midfielder,205632,L. Ocampos,11,8,15,12,7,,80,72
Midfielder,225193,Merino,9,12,9,13,14,,84,82
Defender,225850,P. Kimpembe,7,8,14,15,9,,80,75
Defender,228618,F. Mendy,7,16,9,10,9,,80,78
Defender,229880,A. Wan-Bissaka,9,8,6,8,8,,76,58
Midfielder,230658,Arthur,6,13,13,11,12,,88,85
Forward,230666,Gabriel Jesus,13,8,6,6,15,,77,66
Midfielder,231443,O. Dembélé,6,6,14,10,13,,78,76
Midfielder,233064,M. Mount,11,12,13,8,12,,86,83
Goalkeeper,234642,É. Mendy,83,82,78,81,84,35.0,39,46
Midfielder,235805,F. Chiesa,6,7,8,9,7,,78,72
Midfielder,239053,F. Valverde,6,10,6,15,8,,85,84
Defender,241486,J. Koundé,11,10,8,14,13,,80,75
Midfielder,207410,M. Kovačić,9,5,6,7,7,,90,82
Forward,242444,João Félix,13,12,14,13,14,,80,67
Defender,205452,A. Rüdiger,14,15,10,12,8,,76,73
Defender,192774,K. Manolas,8,6,8,15,12,,65,61
Goalkeeper,204935,J. Pickford,83,78,87,80,86,49.0,55,56
Midfielder,135507,Fernandinho,12,11,5,13,7,,83,81
Midfielder,177413,A. Witsel,5,7,7,10,7,,90,83
Goalkeeper,178750,Sergio Asenjo,85,83,78,81,83,57.0,39,39
Defender,179645,S. Kjær,6,10,13,10,15,,76,72
Forward,180930,E. Džeko,9,11,13,15,15,,77,78
Defender,184432,Azpilicueta,13,9,10,6,5,,79,80
Midfielder,189575,Muniain,10,5,5,13,12,,85,74
Midfielder,190286,Canales,15,12,16,13,12,,84,87
Goalkeeper,190941,L. Hrádecký,85,78,69,83,87,40.0,30,33
Defender,191043,Alex Sandro,7,7,9,12,5,,81,71
Goalkeeper,192563,B. Leno,85,80,76,83,85,55.0,50,48
Defender,183907,J. Boateng,7,12,15,6,5,,77,83
Forward,192883,H. Mkhitaryan,5,11,14,5,7,,83,71
Forward,201153,Morata,4,5,4,4,5,,78,60
Defender,193082,J. Cuadrado,5,5,13,6,9,,81,69
Forward,204838,R. Jiménez,7,11,13,14,10,,81,75
Goalkeeper,203841,N. Pope,81,83,75,83,84,49.0,32,35
Defender,203574,J. Stones,7,15,11,10,8,,83,75
Forward,201399,M. Icardi,13,9,5,7,9,,76,54
Defender,202884,L. Spinazzola,11,13,12,15,14,,78,64
Forward,200610,K. Volland,8,7,9,7,12,,81,74
Midfielder,199914,Allan,13,13,5,5,8,,83,80
Defender,199845,F. Acerbi,11,9,9,13,11,,75,79
Defender,197061,J. Matip,11,15,10,7,10,,77,74
Defender,229668,Mario Hermoso,13,8,10,5,8,,78,77
Midfielder,224293,Rúben Neves,16,12,10,8,10,,88,85
Defender,229558,D. Upamecano,6,7,8,15,9,,76,72
Midfielder,227796,C. Pulisic,8,12,13,16,14,,77,59
Midfielder,226271,Fabián,16,11,7,13,13,,83,80
Defender,225100,J. Gomez,8,13,14,7,7,,78,65
Midfielder,224458,Diogo Jota,7,12,15,9,11,,75,71
Midfielder,212616,R. De Paul,13,12,10,7,14,,85,81
Midfielder,222665,M. Ødegaard,14,15,15,8,10,,83,81
Midfielder,222077,M. Locatelli,11,12,11,10,15,,85,83
Defender,220440,C. Lenglet,10,10,9,12,7,,78,74
Midfielder,220018,A. Rebić,13,15,12,13,14,,79,67
Defender,219693,Diego Carlos,7,10,14,7,11,,76,74
Defender,212462,Alex Telles,13,8,12,11,14,,82,81
Defender,229984,B. Chilwell,10,7,14,7,10,,79,73
Midfielder,229906,L. Bailey,12,13,6,15,14,,73,66
Midfielder,241461,Ferran Torres,12,9,11,15,12,,80,78
Goalkeeper,230869,Unai Simón,82,77,76,85,84,47.0,40,37
Forward,235410,Y. En-Nesyri,13,9,14,9,13,,69,58
Midfielder,244260,Dani Olmo,15,15,13,12,11,,84,79
Defender,241464,Pau Torres,11,13,13,13,9,,80,76
Goalkeeper,211515,P. Gollini,82,81,76,83,82,47.0,31,25
Defender,240130,Éder Militão,11,8,15,12,15,,77,70
Midfielder,236792,T. Souček,11,13,5,6,8,,81,76
Midfielder,235569,T. Ndombele,8,10,13,8,7,,85,81
Midfielder,234943,F. Neuhaus,6,11,10,11,15,,85,88
Forward,231943,Richarlison,12,7,8,11,13,,79,61
Defender,234396,A. Davies,11,11,6,5,14,,81,58
Midfielder,234378,D. Rice,8,11,14,5,9,,82,80
Forward,233731,A. Isak,7,6,9,7,11,,79,47
Midfielder,233419,Raphinha,8,7,13,8,14,,76,70
Defender,233096,D. Dumfries,10,10,7,13,14,,74,65
Defender,232488,C. Romero,5,7,11,10,14,,69,49
Defender,212190,N. Süle,15,7,14,7,15,,78,69
Midfielder,220697,J. Maddison,11,14,14,12,14,,84,82
Midfielder,210935,D. Berardi,5,6,5,5,6,,85,79
Midfielder,197781,Isco,10,8,12,15,6,,81,80
Goalkeeper,193698,O. Baumann,81,80,79,79,82,49.0,30,25
Midfielder,193474,I. Gueye,8,6,8,12,13,,80,76
Forward,193301,A. Lacazette,11,6,9,5,6,,79,70
Goalkeeper,193105,A. Areola,85,79,76,80,85,55.0,48,37
Midfielder,190460,C. Eriksen,9,14,7,7,6,,89,90
Midfielder,189242,Coutinho,12,7,9,14,6,,80,77
Goalkeeper,188943,K. Trapp,82,78,79,82,84,48.0,25,12
Defender,183512,Yuri Berchiche,12,13,9,8,11,,80,72
Goalkeeper,178005,Rui Patrício,82,80,77,80,83,55.0,34,32
Midfielder,173731,G. Bale,15,15,11,5,6,,80,79
Midfielder,168651,I. Rakitić,14,11,12,5,9,,85,86
Goalkeeper,168435,S. Sirigu,82,77,76,84,80,46.0,23,28
Goalkeeper,164835,Ł. Fabiański,82,82,71,83,82,49.0,20,32
Defender,210413,A. Romagnoli,9,14,12,8,9,,75,70
Defender,157481,Raúl Albiol,8,6,5,9,8,,74,72
Goalkeeper,194404,Neto,83,79,78,79,81,54.0,36,41
Midfielder,187072,L. Stindl,7,10,13,11,12,,85,79
Forward,198717,W. Zaha,15,10,15,11,10,,76,65
Midfielder,208461,M. de Roon,14,15,7,12,12,,78,75
Goalkeeper,209981,Y. Bounou,82,79,76,81,84,36.0,39,44
Midfielder,208421,Saúl,7,13,12,10,9,,84,82
Midfielder,208333,E. Can,14,8,8,13,11,,83,83
Midfielder,208128,H. Çalhanoğlu,9,14,11,6,10,,85,83
Midfielder,205070,Portu,14,10,15,15,13,,77,76
Defender,205069,Juan Bernat,8,9,12,11,16,,81,73
Midfielder,203486,T. Hazard,6,9,7,7,8,,82,72
Midfielder,202651,Suso,15,15,9,8,9,,84,75
Midfielder,201519,J. Veretout,9,10,11,8,9,,85,80
Defender,201305,Gabriel Paulista,15,6,15,15,7,,80,74
Midfielder,199823,Campaña,8,11,6,7,10,,84,82
Goalkeeper,199482,A. Lopes,84,78,70,80,86,63.0,32,31
Forward,199110,L. Muriel,8,10,10,14,6,,80,55
Midfielder,221363,D. van de Beek,7,12,8,10,14,,81,78
Forward,221479,D. Calvert-Lewin,12,12,8,7,11,,72,47
Midfielder,221992,H. Lozano,11,10,14,14,10,,74,65
Midfielder,224411,Gonçalo Guedes,9,12,11,9,9,,76,69
Goalkeeper,223952,David Soria,81,80,72,80,82,43.0,24,33
Midfielder,224081,K. Phillips,8,8,8,12,14,,80,82
Defender,220093,H. Hateboer,11,6,8,14,15,,78,70
Midfielder,225375,K. Laimer,9,12,12,13,12,,82,78
Goalkeeper,220407,M. Dúbravka,79,78,80,79,82,46.0,48,45
Goalkeeper,214979,J. Musso,82,78,73,82,86,44.0,31,24
Defender,217940,D. Djené,7,15,7,10,10,,75,69
Forward,216475,Morales,14,13,13,16,8,,77,68
Midfielder,216409,M. Politano,11,12,6,8,11,,79,76
Forward,216201,Iñaki Williams,14,15,14,10,13,,74,66
Forward,215330,J. Correa,11,10,7,8,8,,81,74
Midfielder,212194,J. Brandt,11,16,11,8,9,,82,79
Forward,211300,A. Martial,9,8,8,15,11,,78,60
Midfielder,210463,D. Machís,8,8,10,13,10,,76,71
Defender,226166,N. Mukiele,10,7,14,11,15,,73,70
Midfielder,226110,N. Pépé,11,14,11,6,8,,76,66
Defender,247263,E. Tapsoba,5,10,13,7,15,,81,80
Midfielder,226226,G. Lo Celso,10,7,10,15,14,,84,83
Goalkeeper,227127,Álex Remiro,84,74,80,84,82,42.0,34,29
Goalkeeper,210385,Rui Silva,82,76,75,83,84,31.0,25,26
Midfielder,251854,Pedri,12,7,11,8,8,,85,80
Defender,251573,Renan Lodi,12,7,11,10,15,,77,75
Midfielder,247394,D. Kulusevski,14,5,10,10,5,,79,69
Defender,245279,Reguilón,11,14,9,5,12,,78,70
Midfielder,241852,M. Diaby,8,9,8,8,14,,78,70
Midfielder,239231,Cucurella,13,7,9,10,11,,81,79
Defender,238074,R. James,8,12,7,13,11,,79,71
Defender,235374,M. Lazzari,14,6,11,5,11,,78,75
Midfielder,234906,H. Aouar,14,6,11,7,10,,86,80
Midfielder,234742,H. Barnes,6,5,11,8,10,,77,68
Midfielder,234153,Carlos Soler,6,14,7,13,11,,85,82
Midfielder,233927,Lucas Paquetá,14,9,12,11,11,,82,79
Midfielder,232411,C. Nkunku,5,6,10,15,7,,83,80
Forward,231969,R. Malinovskyi,6,6,12,15,13,,85,81
Midfielder,228251,L. Pellegrini,12,7,10,13,11,,86,82
Defender,227950,Yeray,12,9,8,12,11,,78,70
Midfielder,210406,P. Zieliński,12,9,12,11,6,,84,81
Goalkeeper,193314,Aitor,82,78,67,81,83,56.0,38,35
Midfielder,210008,A. Rabiot,9,12,9,7,15,,84,80
Defender,199564,Sergi Roberto,14,16,11,15,10,,81,78
Midfielder,198710,J. Rodríguez,15,15,15,5,14,,84,85
Forward,195859,D. Ings,10,13,12,16,6,,75,61
Midfielder,195365,K. Kampl,13,11,7,6,16,,87,78
Forward,193983,A. Delort,10,14,10,8,11,,75,64
Midfielder,193283,T. Delaney,8,12,11,14,15,,76,80
Midfielder,190674,B. André,8,14,15,7,10,,79,77
Forward,183574,M. Kruse,12,7,5,13,9,,83,80
Midfielder,181872,A. Vidal,4,2,4,2,4,,81,79
Midfielder,181458,I. Perišić,6,7,10,9,6,,78,72
Midfielder,176266,Lucas Leiva,10,8,8,5,6,,78,77
Defender,171791,José Fonte,7,11,16,10,6,,74,69
Goalkeeper,163705,S. Mandanda,80,80,78,81,81,49.0,46,36
Goalkeeper,163489,A. Consigli,81,82,72,80,83,42.0,31,27
Midfielder,156519,H. Herrera,6,10,15,7,16,,81,79
Forward,124375,B. Yılmaz,14,15,11,8,12,,70,61
Midfielder,45186,Joaquín,9,14,6,10,11,,84,83
Midfielder,209297,Fred,7,16,15,11,15,,82,80
Defender,199304,Danilo,14,5,15,14,5,,77,74
Forward,184200,M. Arnautović,14,15,10,10,15,,81,74
Goalkeeper,199987,J. Cillessen,81,80,78,81,79,54.0,50,35
Forward,205175,A. Milik,9,16,16,15,6,,70,62
Forward,200454,Paco Alcácer,12,11,11,10,9,,78,51
Forward,208596,A. Belotti,13,7,12,14,7,,71,48
Midfielder,208448,E. Forsberg,13,7,9,15,11,,86,76
Midfielder,208330,A. Januzaj,15,10,11,12,7,,81,76
Midfielder,207439,L. Paredes,9,14,6,9,10,,84,85
Midfielder,206511,M. Arnold,11,9,11,10,10,,82,83
Goalkeeper,205659,A. Cragno,82,80,73,80,84,39.0,31,25
Midfielder,205569,J. Ward-Prowse,12,12,10,15,15,,85,84
Midfielder,208618,Lucas Vázquez,9,16,9,9,7,,79,76
Defender,204638,W. Orban,15,12,15,10,6,,69,58
Defender,202695,J. Tarkowski,14,8,12,9,7,,74,73
Defender,204525,Iñigo Martínez,12,16,11,13,11,,75,83
Midfielder,200888,Danilo Pereira,9,7,13,14,15,,81,78
Midfielder,200949,Lucas Moura,9,10,14,7,14,,72,66
Defender,200724,Nacho Fernández,12,7,10,15,7,,78,61
Defender,203551,A. Florenzi,9,8,10,11,10,,83,77
Defender,204311,K. Zouma,14,14,7,9,15,,72,68
Midfielder,224309,Joan Jordán,13,12,13,12,9,,84,84
Defender,227813,O. Zinchenko,15,11,13,11,11,,82,78
Goalkeeper,227290,M. Dmitrović,77,79,78,80,81,37.0,40,40
Midfielder,226754,I. Bennacer,9,12,10,16,15,,84,83
Defender,226491,K. Tierney,13,16,8,12,13,,77,68
Defender,227928,Nélson Semedo,16,12,10,14,12,,75,65
Midfielder,225953,S. Bergwijn,11,14,12,14,13,,80,63
Midfielder,225201,Álex Berenguer,14,16,8,6,13,,79,65
Midfielder,225085,J. Bamba,15,14,15,8,9,,76,66
Defender,222331,L. Klostermann,8,12,10,7,7,,74,63
Forward,224179,Borja Iglesias,14,12,16,13,16,,73,65
Midfielder,223959,L. Torreira,5,5,13,7,9,,78,73
Defender,223724,S. Lainer,10,14,7,8,7,,76,70
Defender,221660,V. Lindelöf,12,16,8,7,9,,79,80
Goalkeeper,221087,Pau López,80,79,72,80,82,48.0,38,41
Midfielder,220971,N. Keïta,7,14,15,14,9,,83,75
Defender,220182,J. Denayer,7,10,15,15,15,,77,71
Midfielder,229261,D. Zakaria,12,12,7,13,11,,79,73
Defender,229237,M. Akanji,10,9,13,6,9,,79,69
Defender,217870,G. Di Lorenzo,8,10,8,10,7,,77,71
Defender,229582,G. Mancini,13,12,8,6,8,,67,42
Midfielder,229857,S. Sensi,10,6,8,11,13,,87,84
Midfielder,246669,B. Saka,7,8,13,9,13,,79,63
Defender,244470,V. Coufal,13,12,12,6,13,,75,73
Midfielder,241095,N. Vlašić,6,14,15,9,14,,81,77
Defender,240900,Unai Núñez,9,9,15,6,11,,79,50
Midfielder,240709,R. Baku,12,8,7,10,9,,74,69
Forward,239207,M. Gómez,7,8,13,12,6,,73,64
Midfielder,238794,Vinícius Jr.,5,7,7,7,10,,72,67
Defender,237383,A. Bastoni,11,5,9,11,12,,72,73
Midfielder,237238,S. McTominay,9,6,6,10,11,,81,78
Midfielder,236987,B. Kamara,8,12,8,6,11,,79,78
Goalkeeper,233306,D. Henderson,80,79,78,76,83,50.0,37,45
Midfielder,233195,X. Schlager,6,8,8,12,7,,79,77
Forward,232293,V. Osimhen,14,14,10,9,6,,69,53
Defender,232119,Ç. Söyüncü,6,7,7,7,7,,76,64
Forward,231447,D. Malen,7,9,9,10,14,,75,64
Midfielder,230767,Renato Sanches,5,12,6,13,14,,81,79
Midfielder,229927,Gerson,14,13,13,9,9,,86,79
Midfielder,219683,C. Tolisso,7,10,14,9,14,,82,84
Midfielder,219953,Embarba,13,6,6,14,11,,80,75
Defender,216189,Capa,12,13,6,12,11,,80,67
Midfielder,185020,José Callejón,8,5,14,11,11,,80,60
Defender,198141,Bartra,10,15,13,12,8,,79,79
Goalkeeper,198009,M. Perin,80,80,71,79,82,57.0,33,31
Midfielder,193061,R. Pereyra,4,5,3,4,8,,82,80
Goalkeeper,189690,Guaita,81,79,77,77,82,51.0,39,33
Midfielder,189271,F. Coquelin,9,9,8,10,15,,82,81
Goalkeeper,189117,R. Bürki,81,79,60,77,86,46.0,37,24
Defender,187598,Rafael Tolói,11,12,16,16,8,,66,68
Midfielder,186561,A. Ramsey,6,11,5,10,8,,85,81
Forward,184941,A. Sánchez,10,10,15,12,13,,79,77
Forward,199254,João Pedro,14,16,7,11,12,,81,74
Defender,183855,A. Ogbonna,5,3,5,4,4,,70,69
Defender,177604,Nacho Monreal,7,5,9,3,5,,77,70
Midfielder,177388,D. Payet,11,15,9,14,12,,83,80
Defender,176676,Marcelo,12,5,5,5,9,,80,77
Defender,172522,D. Wass,11,9,10,13,13,,80,81
Forward,171579,Raúl García,14,16,14,16,15,,83,82
Defender,169588,J. Evans,12,16,16,15,8,,74,65
Goalkeeper,215316,G. Rulli,80,79,78,79,80,54.0,32,23
Midfielder,199042,C. Aránguiz,15,7,12,8,13,,81,83
Defender,182493,D. Godín,6,8,15,5,15,,77,70
Defender,201143,A. Mandi,15,16,9,10,14,,80,78
Forward,207732,Roger,15,13,15,14,8,,73,59
Midfielder,201400,Rafinha,11,6,15,13,7,,85,80
Midfielder,162347,João Moutinho,13,15,15,13,13,,86,83
Goalkeeper,215223,W. Benítez,80,79,72,80,83,48.0,28,27
Defender,213661,A. Christensen,10,12,8,6,8,,79,71
Midfielder,211117,D. Alli,7,6,9,11,8,,82,80
Defender,210455,Jonny,7,10,12,10,6,,76,64
Goalkeeper,209960,Pacheco,79,77,70,81,82,46.0,28,29
Forward,209519,G. Laborde,14,15,9,14,9,,80,71
Goalkeeper,212151,T. Strakosha,82,77,74,77,84,43.0,26,22
Defender,207599,M. Keane,16,7,8,14,11,,76,70
Midfielder,205686,T. Savanier,12,11,15,10,10,,83,82
Defender,205600,S. Umtiti,15,10,14,12,15,,76,73
Defender,203890,Š. Vrsaljko,15,11,10,10,12,,76,70
Midfielder,202325,D. Demme,14,10,14,12,9,,80,78
Midfielder,202166,J. Draxler,11,13,5,13,8,,81,77
Midfielder,202024,R. Freuler,12,8,9,14,13,,81,80
Defender,201922,M. Hinteregger,14,14,9,13,10,,72,80
Defender,224490,Z. Çelik,13,14,9,10,7,,76,68
Defender,221491,N. Elvedi,9,15,10,12,9,,74,57
Defender,222501,T. Castagne,14,9,15,10,15,,75,70
Defender,223597,R. Aguilar,15,8,16,10,13,,77,71
Defender,224031,A. Marušić,8,9,7,10,10,,71,55
Defender,224196,R. Bensebaini,6,13,14,7,14,,77,68
Midfielder,225663,A. Golovin,12,14,14,10,16,,79,74
Goalkeeper,225116,A. Meret,80,74,70,78,82,44.0,29,22
Defender,225508,E. Bailly,14,14,10,9,8,,68,60
Defender,226221,Aritz Elustondo,7,10,12,15,8,,77,55
Midfielder,226162,E. Buendía,11,10,13,7,9,,82,79
Midfielder,220673,R. Tapia,16,14,7,15,8,,77,76
Defender,220793,D. Sánchez,9,7,10,6,15,,73,67
Goalkeeper,212442,José Sá,80,77,62,76,83,44.0,30,20
Defender,220523,Y. Mina,10,8,12,9,12,,76,69
Midfielder,220253,Munir,9,12,6,13,16,,80,62
Midfielder,219809,T. Bakayoko,11,15,11,14,10,,78,73
Defender,219789,H. Traoré,10,14,9,7,16,,76,73
Midfielder,218339,M. Dahoud,14,7,9,12,11,,82,79
Midfielder,216388,A. Saint-Maximin,10,9,12,7,7,,74,64
Defender,216150,D. Zappacosta,11,9,8,6,11,,75,68
