sofifa_id,short_name,Positions,overall,potential,value_eur,wage_eur,age,height_cm,weak_foot,skill_moves,release_clause_eur,pace,shooting,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
215914,N. Kanté,Midfielder,90,90,100000000.0,230000.0,30,168,3,2,185000000.0,78.0,66.0,82.0,87.0,83.0,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,15,12,10,7,10,0.0
165153,K. Benzema,Forward,89,89,66000000.0,350000.0,33,185,4,4,135300000.0,76.0,86.0,87.0,39.0,77.0,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,43,24,18,13,11,5,5,7,0.0
192119,T. Courtois,Goalkeeper,89,91,85500000.0,250000.0,29,199,3,1,181700000.0,0.0,0.0,0.0,0.0,0.0,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,74,86,88,46.0
200104,H. Son,Midfielder,89,89,104000000.0,220000.0,28,183,5,4,197600000.0,88.0,87.0,86.0,43.0,69.0,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10,0.0
200145,Casemiro,Midfielder,89,89,88000000.0,310000.0,29,185,3,2,180400000.0,65.0,73.0,73.0,86.0,90.0,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12,0.0
203376,V. van Dijk,Defender,89,89,86000000.0,230000.0,29,193,3,2,159100000.0,78.0,60.0,72.0,91.0,84.0,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11,0.0
208722,S. Mané,Midfielder,89,89,101000000.0,270000.0,29,175,4,4,186900000.0,91.0,83.0,89.0,44.0,77.0,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,10,10,15,7,14,0.0
209331,M. Salah,Midfielder,89,89,101000000.0,270000.0,29,175,3,4,186900000.0,90.0,87.0,90.0,45.0,75.0,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,0.0
210257,Ederson,Goalkeeper,89,91,94000000.0,200000.0,27,188,3,1,181000000.0,0.0,0.0,0.0,0.0,0.0,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,64.0
212622,J. Kimmich,Midfielder,89,90,108000000.0,160000.0,26,177,4,3,186300000.0,70.0,73.0,84.0,83.0,79.0,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79,8,15,7,15,15,0.0
212831,Alisson,Goalkeeper,89,90,82000000.0,190000.0,28,191,3,1,157900000.0,0.0,0.0,0.0,0.0,0.0,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89,52.0
230621,G. Donnarumma,Goalkeeper,89,93,119500000.0,110000.0,22,196,3,1,230000000.0,0.0,0.0,0.0,0.0,0.0,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,68,20,14,16,91,83,79,85,90,52.0
155862,Sergio Ramos,Defender,88,88,24000000.0,115000.0,35,184,3,3,44400000.0,70.0,70.0,74.0,88.0,84.0,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,84,89,91,11,8,9,7,11,0.0
176580,L. Suárez,Forward,88,88,44500000.0,135000.0,34,182,4,3,91200000.0,72.0,90.0,84.0,47.0,83.0,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,42,45,38,27,25,31,33,37,0.0
182521,T. Kroos,Midfielder,88,88,75000000.0,310000.0,31,183,5,3,153800000.0,53.0,81.0,81.0,71.0,68.0,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60,10,11,13,7,10,0.0
192505,R. Lukaku,Forward,88,88,93500000.0,260000.0,28,191,4,3,173000000.0,84.0,87.0,78.0,39.0,83.0,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30,8,15,14,7,10,0.0
193041,K. Navas,Goalkeeper,88,88,15500000.0,130000.0,34,185,3,1,28700000.0,0.0,0.0,0.0,0.0,0.0,11,15,11,40,11,24,21,15,37,30,54,53,60,85,61,56,74,39,75,13,32,22,16,68,25,67,28,14,14,89,84,75,87,89,54.0
202652,R. Sterling,Midfielder,88,89,107500000.0,290000.0,26,170,3,4,206900000.0,91.0,82.0,87.0,45.0,66.0,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9,0.0
212198,Bruno Fernandes,Midfielder,88,89,107500000.0,250000.0,26,179,3,4,206900000.0,75.0,86.0,84.0,70.0,77.0,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,0.0
239085,E. Haaland,Forward,88,93,137500000.0,110000.0,20,194,3,3,244100000.0,89.0,91.0,80.0,45.0,88.0,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84,44,43,30,7,14,13,11,7,0.0
153079,S. Agüero,Forward,87,87,51000000.0,260000.0,33,173,4,4,104600000.0,71.0,89.0,87.0,33.0,69.0,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14,0.0
167948,H. Lloris,Goalkeeper,87,87,13500000.0,125000.0,34,188,1,1,25700000.0,0.0,0.0,0.0,0.0,0.0,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,49,74,41,43,14,31,27,10,50,40,65,29,10,18,88,83,65,84,90,61.0
177003,L. Modrić,Midfielder,87,87,32000000.0,190000.0,35,172,4,4,65600000.0,73.0,76.0,88.0,72.0,66.0,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71,13,9,7,14,9,0.0
183898,Á. Di María,Midfielder,87,87,49500000.0,160000.0,33,180,2,5,91600000.0,83.0,81.0,87.0,48.0,69.0,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,10,7,11,12,11,0.0
186153,W. Szczęsny,Goalkeeper,87,87,42000000.0,105000.0,31,195,3,1,69300000.0,0.0,0.0,0.0,0.0,0.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,82,73,87,88,49.0
189596,T. Müller,Midfielder,87,87,66000000.0,140000.0,31,185,4,3,108900000.0,67.0,84.0,80.0,56.0,71.0,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,6,7,11,14,14,0.0
192387,C. Immobile,Forward,87,87,67500000.0,125000.0,31,185,4,3,114800000.0,86.0,87.0,81.0,39.0,77.0,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,34,33,32,6,8,15,12,6,0.0
195864,P. Pogba,Midfielder,87,87,79500000.0,220000.0,28,191,4,5,147100000.0,71.0,81.0,86.0,65.0,83.0,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,5,6,2,4,3,0.0
199556,M. Verratti,Midfielder,87,87,79500000.0,155000.0,28,165,4,4,147100000.0,64.0,61.0,91.0,79.0,67.0,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10,0.0
207865,Marquinhos,Defender,87,90,90500000.0,135000.0,27,183,3,3,174200000.0,81.0,53.0,74.0,89.0,81.0,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89,6,6,12,10,13,0.0
209658,L. Goretzka,Midfielder,87,88,93000000.0,140000.0,26,189,4,3,160400000.0,81.0,82.0,84.0,81.0,86.0,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,13,8,15,11,9,0.0
211110,P. Dybala,Forward,87,88,93000000.0,160000.0,27,177,3,4,160400000.0,84.0,86.0,90.0,40.0,60.0,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,0.0
216267,A. Robertson,Defender,87,88,83500000.0,175000.0,27,178,2,3,160700000.0,84.0,61.0,81.0,82.0,76.0,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81,11,8,10,7,14,0.0
228702,F. de Jong,Midfielder,87,92,119500000.0,210000.0,24,180,3,4,253900000.0,81.0,69.0,88.0,77.0,78.0,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9,0.0
231281,T. Alexander-Arnold,Defender,87,92,114000000.0,150000.0,22,180,4,3,219500000.0,79.0,68.0,80.0,80.0,72.0,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7,0.0
233049,J. Sancho,Midfielder,87,91,116500000.0,150000.0,21,180,3,5,224300000.0,81.0,76.0,91.0,36.0,65.0,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32,7,11,10,11,13,0.0
239818,Rúben Dias,Defender,87,91,102500000.0,170000.0,24,187,4,2,197300000.0,61.0,38.0,68.0,88.0,88.0,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,0.0
138956,G. Chiellini,Defender,86,86,12000000.0,88000.0,36,187,3,2,19800000.0,68.0,46.0,59.0,89.0,85.0,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88,3,3,2,4,3,0.0
162835,S. Handanovič,Goalkeeper,86,86,7500000.0,78000.0,36,193,3,1,12800000.0,0.0,0.0,0.0,0.0,0.0,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,49,78,41,69,19,25,22,12,41,23,69,25,10,13,81,81,65,92,87,47.0
178603,M. Hummels,Defender,86,86,44000000.0,95000.0,32,191,3,3,74800000.0,56.0,59.0,73.0,89.0,77.0,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,90,86,15,6,10,5,6,0.0
189332,Jordi Alba,Defender,86,86,47000000.0,200000.0,32,170,3,3,96400000.0,86.0,69.0,83.0,77.0,71.0,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13,0.0
189509,Thiago,Midfielder,86,86,65000000.0,180000.0,30,174,3,5,120300000.0,63.0,72.0,90.0,70.0,66.0,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,0.0
189511,Sergio Busquets,Midfielder,86,86,45000000.0,200000.0,32,189,3,3,92300000.0,42.0,62.0,80.0,82.0,75.0,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,5,8,13,9,13,0.0
189513,Parejo,Midfielder,86,86,53500000.0,64000.0,32,182,4,3,112400000.0,50.0,83.0,81.0,71.0,69.0,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,5,9,12,14,8,0.0
192984,K. Casteels,Goalkeeper,86,87,52000000.0,88000.0,29,197,2,1,92300000.0,0.0,0.0,0.0,0.0,0.0,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,60,58,44,72,18,33,16,15,42,20,40,11,19,17,85,83,80,84,87,45.0
198219,L. Insigne,Midfielder,86,86,65500000.0,125000.0,30,163,4,4,111400000.0,87.0,78.0,90.0,36.0,45.0,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22,8,4,14,9,10,0.0
201024,K. Koulibaly,Defender,86,86,55500000.0,105000.0,30,187,3,2,94400000.0,81.0,28.0,65.0,87.0,85.0,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86,7,11,7,13,5,0.0
201535,R. Varane,Defender,86,88,68500000.0,180000.0,28,191,3,2,131900000.0,82.0,49.0,65.0,87.0,82.0,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,86,88,87,11,11,9,5,14,0.0
204485,R. Mahrez,Midfielder,86,86,65500000.0,220000.0,30,179,4,5,121200000.0,81.0,79.0,90.0,38.0,60.0,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,15,9,13,11,6,0.0
208093,Gerard Moreno,Forward,86,86,68000000.0,73000.0,29,180,4,3,142800000.0,79.0,86.0,84.0,46.0,73.0,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,44,41,41,15,12,7,12,10,0.0
208830,J. Vardy,Forward,86,86,33000000.0,180000.0,34,179,4,3,62700000.0,85.0,84.0,80.0,52.0,73.0,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54,15,14,7,15,11,0.0
209499,Fabinho,Midfielder,86,88,73500000.0,165000.0,27,188,2,3,141500000.0,67.0,69.0,78.0,85.0,83.0,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85,13,12,6,8,8,0.0
210514,João Cancelo,Defender,86,87,71500000.0,185000.0,27,182,4,4,137600000.0,85.0,71.0,84.0,80.0,72.0,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14,0.0
212218,A. Laporte,Defender,86,89,77000000.0,185000.0,27,191,3,2,148200000.0,63.0,50.0,69.0,86.0,80.0,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,0.0
213345,K. Coman,Midfielder,86,87,81000000.0,120000.0,25,180,3,4,139700000.0,93.0,76.0,88.0,30.0,60.0,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,29,27,21,5,3,5,3,5,0.0
218667,Bernardo Silva,Midfielder,86,87,80000000.0,200000.0,26,173,3,4,154000000.0,80.0,76.0,91.0,54.0,67.0,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,9,10,14,12,9,0.0
226161,Marcos Llorente,Midfielder,86,89,88000000.0,95000.0,26,184,4,3,187000000.0,88.0,80.0,82.0,78.0,82.0,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,79,80,74,13,6,6,11,15,0.0
231866,Rodri,Midfielder,86,89,81000000.0,175000.0,25,191,4,3,155900000.0,61.0,70.0,78.0,82.0,82.0,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78,10,10,7,14,8,0.0
232363,M. Škriniar,Defender,86,88,74000000.0,150000.0,26,188,3,2,131400000.0,80.0,41.0,69.0,87.0,84.0,40,42,81,72,40,67,34,30,49,72,76,84,54,86,56,50,84,79,86,30,84,86,30,46,56,87,90,88,82,10,13,12,8,12,0.0
143076,A. Gómez,Midfielder,85,85,33500000.0,51000.0,33,167,4,4,70400000.0,87.0,78.0,87.0,39.0,55.0,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34,8,11,12,9,6,0.0
163587,K. Schmeichel,Goalkeeper,85,85,9000000.0,115000.0,34,189,3,1,17100000.0,0.0,0.0,0.0,0.0,0.0,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,60,60,34,64,14,35,20,13,59,26,67,14,14,13,84,78,80,83,90,47.0
164240,Thiago Silva,Defender,85,85,9500000.0,105000.0,36,183,3,2,17600000.0,53.0,54.0,72.0,86.0,78.0,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,87,86,84,9,12,5,9,10,0.0
168542,David Silva,Midfielder,85,85,22000000.0,44000.0,35,173,2,4,46200000.0,63.0,74.0,87.0,52.0,53.0,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,58,53,29,6,15,7,6,12,0.0
177683,Y. Sommer,Goalkeeper,85,85,26500000.0,40000.0,32,183,4,1,45100000.0,0.0,0.0,0.0,0.0,0.0,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,63,73,45,68,12,38,21,15,64,24,57,9,19,12,79,81,84,86,86,50.0
179813,E. Cavani,Forward,85,85,26000000.0,190000.0,34,185,4,3,48100000.0,66.0,86.0,76.0,51.0,79.0,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10,0.0
183277,E. Hazard,Midfielder,85,85,52000000.0,240000.0,30,175,4,4,106600000.0,84.0,80.0,88.0,35.0,63.0,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,34,27,22,11,12,6,8,8,0.0
184344,L. Bonucci,Defender,85,85,17500000.0,110000.0,34,190,4,2,28900000.0,64.0,58.0,72.0,86.0,80.0,44,48,83,81,58,69,56,60,81,79,60,68,59,82,53,74,90,65,86,65,82,86,38,71,70,86,88,85,81,2,2,3,2,4,0.0
185122,P. Gulácsi,Goalkeeper,85,85,28500000.0,87000.0,31,191,2,1,48500000.0,0.0,0.0,0.0,0.0,0.0,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,35,74,12,34,23,11,44,24,45,25,16,20,85,84,76,82,86,43.0
186942,İ. Gündoğan,Midfielder,85,85,51500000.0,185000.0,30,180,4,4,95300000.0,65.0,80.0,86.0,73.0,72.0,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,11,14,5,5,13,0.0
188350,M. Reus,Midfielder,85,85,43000000.0,95000.0,32,180,4,4,73100000.0,73.0,84.0,85.0,47.0,63.0,85,84,44,85,85,85,88,85,79,86,76,71,83,86,82,86,68,67,66,83,51,49,85,86,76,85,52,38,54,12,12,13,13,11,0.0
188377,K. Walker,Defender,85,85,39000000.0,170000.0,31,183,2,3,72200000.0,92.0,63.0,78.0,80.0,82.0,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83,12,6,16,15,8,0.0
188567,P. Aubameyang,Forward,85,85,43500000.0,145000.0,32,187,4,4,82700000.0,89.0,85.0,80.0,35.0,69.0,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,20,29,36,6,9,15,9,9,0.0
193747,Koke,Midfielder,85,85,52500000.0,90000.0,29,176,4,3,107600000.0,70.0,75.0,81.0,79.0,80.0,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,82,81,70,14,12,5,10,13,0.0
194765,A. Griezmann,Forward,85,85,53000000.0,220000.0,30,176,3,4,0.0,80.0,84.0,87.0,52.0,72.0,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,14,8,14,13,14,0.0
198176,S. de Vrij,Defender,85,85,45000000.0,145000.0,29,189,3,2,76500000.0,72.0,41.0,70.0,87.0,79.0,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85,8,10,7,14,13,0.0
201942,Roberto Firmino,Forward,85,85,54000000.0,185000.0,29,181,4,5,99900000.0,77.0,78.0,89.0,59.0,78.0,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42,8,11,9,6,10,0.0
202556,M. Depay,Forward,85,86,63000000.0,220000.0,27,176,3,5,133900000.0,82.0,83.0,84.0,30.0,79.0,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,0.0
204963,Carvajal,Defender,85,85,47500000.0,210000.0,29,173,3,3,97400000.0,80.0,54.0,80.0,81.0,80.0,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84,13,13,15,9,15,0.0
205498,Jorginho,Midfielder,85,85,52500000.0,170000.0,29,180,3,3,97100000.0,55.0,67.0,81.0,73.0,73.0,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71,14,7,13,14,8,0.0
206113,S. Gnabry,Midfielder,85,86,64500000.0,110000.0,25,176,4,4,111300000.0,83.0,84.0,86.0,43.0,69.0,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43,14,10,10,9,7,0.0
223848,S. Milinković-Savić,Midfielder,85,87,66000000.0,100000.0,26,191,5,4,117200000.0,68.0,79.0,81.0,79.0,86.0,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74,7,10,7,16,7,0.0
226790,W. Ndidi,Midfielder,85,88,66500000.0,120000.0,24,183,4,3,131300000.0,67.0,62.0,74.0,87.0,83.0,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85,13,14,7,7,13,0.0
230142,Oyarzabal,Midfielder,85,89,77500000.0,57000.0,24,181,3,3,168600000.0,82.0,82.0,84.0,41.0,63.0,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30,10,6,10,13,11,0.0
231478,L. Martínez,Forward,85,89,78000000.0,145000.0,23,174,4,4,138500000.0,84.0,81.0,85.0,48.0,84.0,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,55,31,44,11,8,8,8,13,0.0
231677,M. Rashford,Midfielder,85,89,77500000.0,150000.0,23,186,3,5,149200000.0,90.0,84.0,84.0,43.0,77.0,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33,11,6,15,7,14,0.0
235212,A. Hakimi,Defender,85,88,69500000.0,100000.0,22,181,4,3,133800000.0,95.0,71.0,83.0,76.0,78.0,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76,10,8,14,6,8,0.0
