Positions,sofifa_id,short_name,Physic,Defending,Reactions,Aggression,Interceptions,Positioning,Composure,MarkingAwareness,StandingTackle,SlidingTackle,Jumping,Strength
Midfielder,205632,L. Ocampos,84.0,63.0,85,82,72,84,82,58,61,55,80,81
Midfielder,225193,Merino,81.0,82.0,84,81,84,78,80,80,84,76,81,79
Defender,225850,P. Kimpembe,86.0,83.0,80,90,84,47,80,81,86,84,79,87
Defender,228618,F. Mendy,84.0,78.0,82,82,79,80,78,77,81,80,79,83
Defender,229880,A. Wan-Bissaka,75.0,81.0,83,78,84,70,76,78,87,92,67,72
Midfielder,230658,Arthur,70.0,72.0,84,70,76,74,88,74,73,71,69,66
Forward,230666,Gabriel Jesus,73.0,39.0,86,73,32,87,79,45,30,28,79,69
Midfielder,231443,O. Dembélé,56.0,36.0,78,54,36,77,80,42,30,33,58,51
Midfielder,233064,M. Mount,65.0,55.0,84,68,59,81,84,54,57,41,54,54
Goalkeeper,234642,É. Mendy,,,80,22,13,6,57,10,11,13,39,72
Midfielder,235805,F. Chiesa,73.0,48.0,83,69,30,81,78,65,44,44,53,71
Midfielder,239053,F. Valverde,80.0,77.0,84,81,81,76,82,79,80,76,62,79
Defender,241486,J. Koundé,78.0,84.0,85,75,86,47,82,85,85,83,88,79
Midfielder,207410,M. Kovačić,70.0,69.0,81,77,74,72,81,70,73,66,75,63
Forward,242444,João Félix,68.0,40.0,83,68,38,84,84,30,42,35,73,64
Defender,205452,A. Rüdiger,84.0,84.0,82,92,81,39,72,85,86,82,84,88
Defender,192774,K. Manolas,81.0,85.0,81,86,86,25,83,85,85,87,91,83
Goalkeeper,204935,J. Pickford,,,80,45,24,18,65,21,20,12,77,70
Midfielder,135507,Fernandinho,75.0,84.0,86,86,85,70,81,87,85,80,84,75
Midfielder,177413,A. Witsel,79.0,82.0,85,75,83,73,90,82,80,80,78,82
Goalkeeper,178750,Sergio Asenjo,,,80,20,22,12,64,24,15,14,73,73
Defender,179645,S. Kjær,78.0,85.0,79,82,85,31,69,87,85,81,81,82
Forward,180930,E. Džeko,76.0,45.0,80,58,50,90,86,54,28,16,64,86
Defender,184432,Azpilicueta,76.0,84.0,86,87,84,62,78,85,85,84,83,70
Midfielder,189575,Muniain,61.0,51.0,80,66,45,81,82,58,55,38,72,49
Midfielder,190286,Canales,71.0,67.0,83,68,77,85,80,64,71,58,38,71
Goalkeeper,190941,L. Hrádecký,,,82,31,18,9,48,10,10,13,69,55
Defender,191043,Alex Sandro,79.0,78.0,80,80,76,70,80,76,80,80,79,77
Goalkeeper,192563,B. Leno,,,78,28,25,7,62,27,15,18,73,70
Defender,183907,J. Boateng,79.0,84.0,85,83,83,47,84,84,84,84,74,87
Forward,192883,H. Mkhitaryan,74.0,56.0,82,69,60,84,82,51,53,55,66,69
Forward,201153,Morata,77.0,31.0,80,69,24,87,79,37,14,20,84,80
Defender,193082,J. Cuadrado,72.0,76.0,82,78,73,75,74,75,80,83,80,66
Forward,204838,R. Jiménez,82.0,47.0,82,81,53,84,81,45,38,30,74,84
Goalkeeper,203841,N. Pope,,,78,36,21,13,63,14,15,14,72,75
Defender,203574,J. Stones,78.0,84.0,82,80,83,52,80,84,85,82,83,78
Forward,201399,M. Icardi,69.0,36.0,84,58,22,91,83,45,24,20,91,73
Defender,202884,L. Spinazzola,71.0,78.0,82,71,80,77,69,82,77,75,69,66
Forward,200610,K. Volland,86.0,42.0,85,80,45,86,86,22,50,33,77,87
Midfielder,199914,Allan,79.0,80.0,84,89,78,77,85,82,87,82,64,70
Defender,199845,F. Acerbi,83.0,86.0,85,77,86,20,85,87,87,85,70,85
Defender,197061,J. Matip,78.0,85.0,84,84,86,48,80,86,86,81,75,81
Defender,229668,Mario Hermoso,80.0,83.0,82,83,83,64,79,83,84,81,82,81
Midfielder,224293,Rúben Neves,73.0,74.0,80,83,78,65,84,76,77,70,67,67
Defender,229558,D. Upamecano,81.0,81.0,77,83,77,47,71,78,84,90,87,88
Midfielder,227796,C. Pulisic,59.0,37.0,78,45,33,79,80,38,32,47,79,54
Midfielder,226271,Fabián,71.0,74.0,82,68,76,81,77,70,78,75,46,67
Defender,225100,J. Gomez,78.0,83.0,82,81,84,51,74,83,84,82,76,83
Midfielder,224458,Diogo Jota,77.0,57.0,84,85,56,85,83,54,57,45,76,71
Midfielder,212616,R. De Paul,79.0,71.0,81,69,74,78,80,68,79,69,67,81
Midfielder,222665,M. Ødegaard,62.0,58.0,74,63,65,76,76,65,49,51,46,56
Midfielder,222077,M. Locatelli,79.0,79.0,83,72,79,73,77,80,82,74,65,78
Defender,220440,C. Lenglet,79.0,83.0,81,79,85,54,82,84,82,80,84,80
Midfielder,220018,A. Rebić,80.0,48.0,85,84,39,79,75,48,50,31,66,80
Defender,219693,Diego Carlos,83.0,81.0,84,85,82,52,75,83,79,81,82,87
Defender,212462,Alex Telles,73.0,77.0,81,76,79,75,77,77,78,76,81,65
Defender,229984,B. Chilwell,75.0,78.0,80,73,78,74,74,78,79,82,86,69
Midfielder,229906,L. Bailey,64.0,33.0,80,55,21,81,75,45,25,18,77,61
Midfielder,241461,Ferran Torres,66.0,35.0,81,45,34,84,82,35,24,28,75,70
Goalkeeper,230869,Unai Simón,,,72,27,26,14,42,11,18,12,63,76
Forward,235410,Y. En-Nesyri,76.0,35.0,80,76,31,82,74,27,31,27,83,76
Midfielder,244260,Dani Olmo,60.0,50.0,83,51,57,82,82,50,50,44,55,54
Defender,241464,Pau Torres,80.0,84.0,80,79,82,42,73,84,84,83,78,80
Goalkeeper,211515,P. Gollini,,,77,19,18,12,63,20,12,19,52,68
Defender,240130,Éder Militão,82.0,83.0,83,82,84,64,74,83,83,82,86,80
Midfielder,236792,T. Souček,85.0,82.0,81,76,83,75,78,81,82,79,90,84
Midfielder,235569,T. Ndombele,72.0,69.0,81,73,72,72,87,66,74,69,60,74
Midfielder,234943,F. Neuhaus,67.0,66.0,82,60,72,70,78,67,67,64,54,65
Forward,231943,Richarlison,80.0,53.0,82,84,46,83,81,45,58,48,86,77
Defender,234396,A. Davies,75.0,75.0,81,77,78,75,74,74,77,79,77,72
Midfielder,234378,D. Rice,79.0,81.0,77,82,83,54,80,80,83,80,74,76
Forward,233731,A. Isak,69.0,29.0,81,52,29,86,77,25,21,18,71,75
Midfielder,233419,Raphinha,72.0,49.0,82,76,55,81,78,45,54,38,74,64
Defender,233096,D. Dumfries,89.0,78.0,80,83,77,74,73,75,79,77,92,89
Defender,232488,C. Romero,84.0,83.0,81,89,80,39,78,83,84,83,86,82
Defender,212190,N. Süle,81.0,83.0,79,85,80,26,75,81,86,82,39,93
Midfielder,220697,J. Maddison,60.0,54.0,76,68,44,80,84,59,65,42,54,51
Midfielder,210935,D. Berardi,69.0,36.0,77,85,26,79,78,42,30,30,65,63
Midfielder,197781,Isco,59.0,59.0,75,58,61,77,83,58,64,51,60,59
Goalkeeper,193698,O. Baumann,,,82,32,21,10,52,15,18,14,73,69
Midfielder,193474,I. Gueye,77.0,83.0,81,83,86,69,79,82,87,83,86,69
Forward,193301,A. Lacazette,72.0,44.0,82,73,42,82,80,39,45,32,76,75
Goalkeeper,193105,A. Areola,,,78,26,23,17,64,13,18,12,72,80
Midfielder,190460,C. Eriksen,52.0,53.0,79,46,56,74,87,59,57,22,49,52
Midfielder,189242,Coutinho,59.0,52.0,80,59,49,80,79,55,54,47,58,52
Goalkeeper,188943,K. Trapp,,,82,30,22,12,62,15,14,10,75,73
Defender,183512,Yuri Berchiche,82.0,79.0,80,85,82,62,78,80,80,76,86,79
Goalkeeper,178005,Rui Patrício,,,76,37,23,13,66,14,13,11,79,77
Midfielder,173731,G. Bale,70.0,55.0,78,64,53,82,85,50,53,50,84,76
Midfielder,168651,I. Rakitić,69.0,75.0,80,67,79,79,80,76,77,72,33,71
Goalkeeper,168435,S. Sirigu,,,78,34,20,10,62,14,11,13,68,66
Goalkeeper,164835,Ł. Fabiański,,,75,43,16,15,63,14,12,13,69,65
Defender,210413,A. Romagnoli,78.0,85.0,80,84,86,31,76,87,86,82,79,79
Defender,157481,Raúl Albiol,73.0,86.0,82,81,86,30,75,89,87,85,76,80
Goalkeeper,194404,Neto,,,78,40,15,11,64,17,14,15,83,63
Midfielder,187072,L. Stindl,73.0,60.0,84,74,60,85,83,59,62,55,72,72
Forward,198717,W. Zaha,75.0,34.0,76,72,32,76,80,30,34,32,58,77
Midfielder,208461,M. de Roon,83.0,82.0,82,85,84,67,81,82,84,81,80,77
Goalkeeper,209981,Y. Bounou,,,80,25,12,10,57,20,18,15,48,69
Midfielder,208421,Saúl,79.0,78.0,80,76,79,80,81,77,78,77,80,77
Midfielder,208333,E. Can,87.0,84.0,81,88,84,76,79,81,87,86,87,86
Midfielder,208128,H. Çalhanoğlu,57.0,59.0,78,57,62,77,78,62,56,56,45,49
Midfielder,205070,Portu,79.0,59.0,81,82,55,83,77,55,61,59,75,74
Defender,205069,Juan Bernat,68.0,76.0,81,75,79,78,78,75,81,78,75,58
Midfielder,203486,T. Hazard,66.0,52.0,81,57,63,80,78,56,46,48,60,65
Midfielder,202651,Suso,55.0,32.0,78,38,20,75,77,48,23,18,50,54
Midfielder,201519,J. Veretout,81.0,77.0,79,84,77,69,82,79,81,77,74,79
Defender,201305,Gabriel Paulista,83.0,84.0,81,87,87,51,69,83,83,82,83,82
Midfielder,199823,Campaña,72.0,71.0,80,63,71,76,83,72,75,62,61,71
Goalkeeper,199482,A. Lopes,,,82,45,25,9,65,13,15,13,82,73
Forward,199110,L. Muriel,67.0,27.0,84,50,16,83,82,26,24,22,60,72
Midfielder,221363,D. van de Beek,77.0,72.0,81,76,73,80,84,72,73,68,71,74
Forward,221479,D. Calvert-Lewin,82.0,39.0,81,78,35,84,76,38,31,23,91,83
Midfielder,221992,H. Lozano,62.0,41.0,81,64,45,82,75,42,35,29,67,54
Midfielder,224411,Gonçalo Guedes,68.0,36.0,79,64,50,77,78,24,34,30,63,68
Goalkeeper,223952,David Soria,,,80,24,18,12,58,22,13,13,61,75
Midfielder,224081,K. Phillips,82.0,78.0,76,86,77,66,78,79,82,77,82,78
Defender,220093,H. Hateboer,79.0,77.0,79,79,74,84,77,77,78,77,74,75
Midfielder,225375,K. Laimer,77.0,80.0,79,85,84,71,79,83,79,75,73,69
Goalkeeper,220407,M. Dúbravka,,,75,28,25,12,59,19,15,14,74,60
Goalkeeper,214979,J. Musso,,,71,27,18,19,67,12,14,16,51,70
Defender,217940,D. Djené,79.0,83.0,82,88,85,49,73,84,83,82,79,78
Forward,216475,Morales,68.0,52.0,80,58,58,84,84,44,54,45,63,67
Midfielder,216409,M. Politano,55.0,42.0,81,63,38,76,79,63,29,29,51,41
Forward,216201,Iñaki Williams,81.0,37.0,82,75,21,85,81,42,34,29,88,82
Forward,215330,J. Correa,69.0,39.0,80,48,36,79,73,39,37,26,63,74
Midfielder,212194,J. Brandt,66.0,48.0,79,38,47,77,81,46,47,49,62,71
Forward,211300,A. Martial,68.0,35.0,79,54,34,79,78,26,33,31,73,74
Midfielder,210463,D. Machís,70.0,38.0,75,72,38,79,79,40,35,24,81,68
Defender,226166,N. Mukiele,80.0,82.0,77,83,83,60,73,82,85,82,90,79
Midfielder,226110,N. Pépé,65.0,36.0,77,43,33,77,77,36,34,30,66,68
Defender,247263,E. Tapsoba,79.0,82.0,77,80,83,34,80,82,84,77,78,81
Midfielder,226226,G. Lo Celso,73.0,69.0,82,82,70,76,80,64,75,68,57,70
Goalkeeper,227127,Álex Remiro,,,74,34,20,11,55,14,17,18,66,73
Goalkeeper,210385,Rui Silva,,,71,19,27,20,49,25,10,19,62,66
Midfielder,251854,Pedri,63.0,66.0,81,59,68,77,84,65,73,63,65,53
Defender,251573,Renan Lodi,75.0,77.0,80,78,77,76,79,76,78,79,77,70
Midfielder,247394,D. Kulusevski,76.0,56.0,80,67,55,77,83,50,64,58,66,77
Defender,245279,Reguilón,70.0,78.0,77,76,78,75,74,77,79,79,64,65
Midfielder,241852,M. Diaby,53.0,41.0,77,51,48,77,75,46,35,46,62,44
Midfielder,239231,Cucurella,74.0,73.0,82,76,73,79,74,71,78,77,77,66
Defender,238074,R. James,80.0,76.0,75,74,75,66,72,77,80,74,73,83
Defender,235374,M. Lazzari,65.0,70.0,78,66,73,74,76,72,75,69,39,56
Midfielder,234906,H. Aouar,71.0,66.0,82,69,69,78,82,68,68,58,66,69
Midfielder,234742,H. Barnes,63.0,45.0,82,48,43,81,75,45,47,44,59,64
Midfielder,234153,Carlos Soler,71.0,71.0,83,65,74,78,76,67,79,68,58,70
Midfielder,233927,Lucas Paquetá,78.0,69.0,82,78,72,80,84,69,72,63,79,74
Midfielder,232411,C. Nkunku,65.0,69.0,78,59,69,78,79,69,72,70,59,63
Forward,231969,R. Malinovskyi,79.0,64.0,77,78,66,77,75,55,72,50,74,79
Midfielder,228251,L. Pellegrini,77.0,72.0,79,72,70,78,82,70,74,72,70,74
Defender,227950,Yeray,77.0,82.0,80,83,86,39,78,83,82,81,90,77
Midfielder,210406,P. Zieliński,61.0,70.0,79,56,75,78,75,69,72,71,52,57
Goalkeeper,193314,Aitor,,,80,15,24,15,55,14,13,12,80,48
Midfielder,210008,A. Rabiot,79.0,76.0,82,69,80,76,80,70,81,75,73,80
Defender,199564,Sergi Roberto,73.0,76.0,78,67,77,69,76,75,77,75,42,69
Midfielder,198710,J. Rodríguez,60.0,50.0,83,60,55,80,87,52,41,44,46,64
Forward,195859,D. Ings,70.0,45.0,86,67,46,86,85,38,45,34,79,69
Midfielder,195365,K. Kampl,62.0,63.0,82,66,75,72,84,66,63,59,67,47
Forward,193983,A. Delort,85.0,37.0,78,80,27,83,79,32,37,25,85,87
Midfielder,193283,T. Delaney,82.0,83.0,79,85,84,75,78,85,81,84,91,77
Midfielder,190674,B. André,85.0,80.0,79,87,84,70,78,77,83,76,93,79
Forward,183574,M. Kruse,66.0,40.0,84,58,34,85,87,43,36,29,65,73
Midfielder,181872,A. Vidal,82.0,82.0,81,92,82,78,80,80,84,83,82,80
Midfielder,181458,I. Perišić,74.0,64.0,79,65,69,83,80,64,58,54,85,76
Midfielder,176266,Lucas Leiva,69.0,82.0,80,82,86,66,86,82,82,79,81,65
Defender,171791,José Fonte,77.0,83.0,83,83,82,48,79,84,83,78,74,84
Goalkeeper,163705,S. Mandanda,,,80,37,23,11,62,13,15,13,69,61
Goalkeeper,163489,A. Consigli,,,75,11,15,10,63,10,17,19,80,51
Midfielder,156519,H. Herrera,84.0,78.0,81,84,82,82,77,81,82,67,77,80
Forward,124375,B. Yılmaz,79.0,34.0,87,85,33,87,83,29,29,26,68,81
Midfielder,45186,Joaquín,55.0,44.0,84,55,35,84,81,41,47,39,31,64
